FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.17,10.1.0.104,372,372,0,100.00,5.32,0.45,0.07
2,10.1.0.104,10.1.0.17,371,371,0,100.00,1.22,0.53,0.03
3,10.1.0.89,10.1.0.107,21,21,0,100.00,0.12,0.81,0.55
4,10.1.0.107,10.1.0.89,1,1,0,100.00,38.81,7.00,0.00
5,10.1.0.10,10.1.0.105,370,370,0,100.00,5.32,4.53,1.96
6,10.1.0.86,10.1.0.108,21,21,0,100.00,0.12,0.48,0.15
7,10.1.0.108,10.1.0.86,1,1,0,100.00,27.41,11.00,0.00
8,10.1.0.49,10.1.0.51,1,1,0,100.00,48.48,7.00,0.00
9,10.1.0.49,10.1.0.105,7,7,0,100.00,0.03,2.43,2.50
10,10.1.0.51,10.1.0.49,5,5,0,100.00,0.02,0.80,0.50
11,10.1.0.51,10.1.0.8,1,1,0,100.00,73.08,5.00,0.00
12,10.1.0.8,10.1.0.10,1,1,0,100.00,44.75,8.00,0.00
13,10.1.0.105,10.1.0.10,369,369,0,100.00,1.23,3.68,1.67
14,10.1.0.6,10.1.0.103,365,365,0,100.00,5.31,1.13,0.18
15,10.1.0.85,10.1.0.6,1,1,0,100.00,55.48,6.00,0.00
16,10.1.0.85,10.1.0.103,1,1,0,100.00,188.12,2.00,0.00
17,10.1.0.6,10.1.0.85,1,1,0,100.00,30.51,7.00,0.00
18,10.1.0.103,10.1.0.6,364,364,0,100.00,1.22,1.41,0.32
19,10.1.0.96,10.1.0.106,20,20,0,100.00,0.12,1.00,0.68
20,10.1.0.106,10.1.0.96,1,1,0,100.00,105.10,2.00,0.00
21,10.1.0.39,10.1.0.105,92,92,0,100.00,0.82,0.51,0.18
22,10.1.0.105,10.1.0.39,91,91,0,100.00,0.31,0.62,0.11
23,10.1.0.56,10.1.0.107,92,0,83,0.00,0.00,0.00,0.00
24,10.1.0.7,10.1.0.56,2,2,0,100.00,0.08,5.50,11.00
25,10.1.0.7,10.1.0.107,1,0,1,0.00,0.00,0.00,0.00
26,10.1.0.97,10.1.0.56,1,1,0,100.00,52.48,7.00,0.00
27,10.1.0.97,10.1.0.107,6,0,6,0.00,0.00,0.00,0.00
28,10.1.0.12,10.1.0.56,1,0,1,0.00,0.00,0.00,0.00
29,10.1.0.12,10.1.0.107,3,3,0,100.00,0.12,336.33,501.00
30,10.1.0.63,10.1.0.56,1,0,1,0.00,0.00,0.00,0.00
31,10.1.0.63,10.1.0.107,3,3,0,100.00,0.12,7.00,2.00
32,10.1.0.44,10.1.0.56,2,0,2,0.00,0.00,0.00,0.00
33,10.1.0.44,10.1.0.107,1,1,0,100.00,0.38,1005.00,0.00
34,10.1.0.56,10.1.0.97,3,3,0,100.00,0.10,7.33,8.00
35,10.1.0.56,10.1.0.7,2,2,0,100.00,0.07,4.50,8.00
36,10.1.0.2,10.1.0.101,363,363,0,100.00,5.33,2.82,1.13
37,10.1.0.101,10.1.0.2,362,362,0,100.00,1.23,0.66,0.27
38,10.1.0.99,10.1.0.107,20,20,0,100.00,0.12,1.50,1.21
39,10.1.0.107,10.1.0.99,1,1,0,100.00,81.43,3.00,0.00
40,10.1.0.25,10.1.0.103,364,364,0,100.00,5.37,0.42,0.05
41,10.1.0.103,10.1.0.25,363,363,0,100.00,1.23,0.52,0.01
42,10.1.0.42,10.1.0.103,92,92,0,100.00,0.83,0.47,0.12
43,10.1.0.103,10.1.0.42,91,91,0,100.00,0.31,0.53,0.02
44,10.1.0.57,10.1.0.104,92,92,0,100.00,0.83,0.50,0.16
45,10.1.0.104,10.1.0.57,91,91,0,100.00,0.31,0.60,0.10
46,10.1.0.16,10.1.0.101,361,361,0,100.00,5.33,0.45,0.07
47,10.1.0.101,10.1.0.16,360,360,0,100.00,1.22,0.53,0.03
48,10.1.0.13,10.1.0.110,358,356,2,99.44,5.26,5.39,3.04
49,10.1.0.65,10.1.0.13,1,1,0,100.00,79.07,4.00,0.00
50,10.1.0.65,10.1.0.110,5,3,2,60.00,0.22,336.00,502.00
51,10.1.0.38,10.1.0.13,1,1,0,100.00,32.23,11.00,0.00
52,10.1.0.38,10.1.0.110,8,8,0,100.00,0.04,3.12,2.86
53,10.1.0.66,10.1.0.13,1,1,0,100.00,50.09,7.00,0.00
54,10.1.0.66,10.1.0.110,3,3,0,100.00,0.10,1.67,1.50
55,10.1.0.13,10.1.0.65,2,2,0,100.00,1.02,5.50,11.00
56,10.1.0.13,10.1.0.66,1,1,0,100.00,17.42,13.00,0.00
57,10.1.0.21,10.1.0.110,358,355,3,99.16,5.26,1.68,0.12
58,10.1.0.13,10.1.0.38,2,2,0,100.00,0.09,5.50,5.00
59,10.1.0.64,10.1.0.106,91,91,0,100.00,0.82,0.57,0.23
60,10.1.0.106,10.1.0.64,90,90,0,100.00,0.31,0.52,0.01
61,10.1.0.85,10.1.0.103,20,20,0,100.00,0.12,0.80,0.53
62,10.1.0.103,10.1.0.85,1,1,0,100.00,596.75,0.00,0.00
63,10.1.0.73,10.1.0.110,20,20,0,100.00,0.12,0.70,0.37
64,10.1.0.110,10.1.0.73,1,1,0,100.00,43.11,7.00,0.00
65,10.1.0.13,10.1.0.21,1,1,0,100.00,36.38,10.00,0.00
66,10.1.0.65,10.1.0.21,1,1,0,100.00,0.99,388.00,0.00
67,10.1.0.58,10.1.0.103,91,91,0,100.00,0.83,0.63,0.31
68,10.1.0.103,10.1.0.58,90,90,0,100.00,0.31,0.82,0.55
69,10.1.0.21,10.1.0.65,1,1,0,100.00,38.10,6.00,0.00
70,10.1.0.110,10.1.0.13,355,355,0,100.00,1.22,1.13,0.17
71,10.1.0.110,10.1.0.21,354,354,0,100.00,1.22,5.28,2.03
72,10.1.0.29,10.1.0.106,356,356,0,100.00,5.33,1.11,0.14
73,10.1.0.24,10.1.0.29,1,1,0,100.00,34.54,11.00,0.00
74,10.1.0.24,10.1.0.106,1,1,0,100.00,16.97,22.00,0.00
75,10.1.0.5,10.1.0.29,1,1,0,100.00,38.95,9.00,0.00
76,10.1.0.5,10.1.0.106,1,1,0,100.00,87.30,4.00,0.00
77,10.1.0.74,10.1.0.29,1,1,0,100.00,0.38,1001.00,0.00
78,10.1.0.74,10.1.0.106,1,1,0,100.00,41.20,9.00,0.00
79,10.1.0.96,10.1.0.29,1,1,0,100.00,19.18,20.00,0.00
80,10.1.0.96,10.1.0.106,1,1,0,100.00,1262.58,0.00,0.00
81,10.1.0.29,10.1.0.5,1,1,0,100.00,36.65,6.00,0.00
82,10.1.0.29,10.1.0.24,1,1,0,100.00,28.68,8.00,0.00
83,10.1.0.106,10.1.0.29,355,355,0,100.00,1.22,1.20,0.35
84,10.1.0.29,10.1.0.96,1,1,0,100.00,27.44,8.00,0.00
85,10.1.0.81,10.1.0.104,20,20,0,100.00,0.12,0.95,0.63
86,10.1.0.104,10.1.0.81,1,1,0,100.00,62.38,4.00,0.00
87,10.1.0.11,10.1.0.109,357,357,0,100.00,5.35,1.78,1.48
88,10.1.0.32,10.1.0.102,355,353,2,99.44,5.29,7.17,3.92
89,10.1.0.50,10.1.0.32,1,1,0,100.00,33.11,11.00,0.00
90,10.1.0.50,10.1.0.102,1,1,0,100.00,246.00,1.00,0.00
91,10.1.0.19,10.1.0.32,1,1,0,100.00,0.38,1003.00,0.00
92,10.1.0.19,10.1.0.102,1,1,0,100.00,55.97,6.00,0.00
93,10.1.0.88,10.1.0.32,1,1,0,100.00,34.79,11.00,0.00
94,10.1.0.88,10.1.0.102,1,1,0,100.00,0.38,1005.00,0.00
95,10.1.0.109,10.1.0.11,356,356,0,100.00,1.23,0.54,0.03
96,10.1.0.32,10.1.0.88,1,1,0,100.00,47.07,5.00,0.00
97,10.1.0.32,10.1.0.50,1,1,0,100.00,63.54,3.00,0.00
98,10.1.0.71,10.1.0.108,20,20,0,100.00,0.12,1.45,1.21
99,10.1.0.108,10.1.0.71,1,1,0,100.00,34.03,8.00,0.00
100,10.1.0.24,10.1.0.105,354,354,0,100.00,5.31,0.45,0.08
101,10.1.0.105,10.1.0.24,353,353,0,100.00,1.22,0.61,0.18
102,10.1.0.83,10.1.0.106,20,20,0,100.00,0.12,2.85,2.11
103,10.1.0.64,10.1.0.83,1,1,0,100.00,34.60,11.00,0.00
104,10.1.0.64,10.1.0.106,1,1,0,100.00,1260.94,0.00,0.00
105,10.1.0.111,10.1.0.83,1,1,0,100.00,78.02,4.00,0.00
106,10.1.0.111,10.1.0.106,1,1,0,100.00,40.08,9.00,0.00
107,10.1.0.83,10.1.0.111,1,1,0,100.00,22.58,10.00,0.00
108,10.1.0.83,10.1.0.64,1,1,0,100.00,27.24,8.00,0.00
109,10.1.0.49,10.1.0.105,91,91,0,100.00,0.83,0.56,0.23
110,10.1.0.105,10.1.0.49,90,90,0,100.00,0.31,0.50,0.00
111,10.1.0.106,10.1.0.83,1,1,0,100.00,298.40,1.00,0.00
112,10.1.0.45,10.1.0.108,92,92,0,100.00,0.84,35.38,18.74
113,10.1.0.21,10.1.0.35,2,2,0,100.00,0.15,8.00,0.00
114,10.1.0.7,10.1.0.107,353,0,320,0.00,0.00,0.00,0.00
115,10.1.0.100,10.1.0.3,3,3,0,100.00,0.12,3.67,4.00
116,10.1.0.100,10.1.0.1,1,1,0,100.00,34.11,11.00,0.00
117,10.1.0.35,10.1.0.38,3,3,0,100.00,0.22,2.33,2.00
118,10.1.0.3,10.1.0.66,2,2,0,100.00,0.08,5.00,9.00
119,10.1.0.1,10.1.0.62,1,1,0,100.00,99.46,3.00,0.00
120,10.1.0.62,10.1.0.21,3,3,0,100.00,0.28,8.67,11.00
121,10.1.0.38,10.1.0.110,91,91,0,100.00,0.83,0.48,0.16
122,10.1.0.110,10.1.0.38,90,90,0,100.00,0.31,0.51,0.00
123,10.1.0.74,10.1.0.106,20,20,0,100.00,0.12,0.50,0.21
124,10.1.0.106,10.1.0.74,1,1,0,100.00,157.86,1.00,0.00
125,10.1.0.29,10.1.0.74,1,1,0,100.00,49.11,4.00,0.00
126,10.1.0.32,10.1.0.19,1,1,0,100.00,31.22,7.00,0.00
127,10.1.0.102,10.1.0.32,352,352,0,100.00,1.23,1.30,0.44
128,10.1.0.62,10.1.0.108,89,89,0,100.00,0.82,1.33,0.44
129,10.1.0.71,10.1.0.62,1,1,0,100.00,128.90,2.00,0.00
130,10.1.0.71,10.1.0.108,6,6,0,100.00,0.26,3.00,5.80
131,10.1.0.62,10.1.0.71,4,4,0,100.00,0.29,3.00,2.67
132,10.1.0.108,10.1.0.62,88,88,0,100.00,0.31,1.34,0.26
133,10.1.0.9,10.1.0.109,349,349,0,100.00,5.30,0.46,0.10
134,10.1.0.109,10.1.0.9,348,348,0,100.00,1.22,0.53,0.03
135,10.1.0.40,10.1.0.108,89,89,0,100.00,0.82,18.39,11.77
136,10.1.0.94,10.1.0.40,1,1,0,100.00,32.11,11.00,0.00
137,10.1.0.94,10.1.0.108,2,2,0,100.00,0.11,5.50,5.00
138,10.1.0.86,10.1.0.40,1,1,0,100.00,53.38,7.00,0.00
139,10.1.0.86,10.1.0.108,2,2,0,100.00,0.11,0.50,1.00
140,10.1.0.78,10.1.0.40,1,0,1,0.00,0.00,0.00,0.00
141,10.1.0.78,10.1.0.108,2,2,0,100.00,0.11,4.00,7.00
142,10.1.0.72,10.1.0.40,1,0,1,0.00,0.00,0.00,0.00
143,10.1.0.72,10.1.0.108,2,2,0,100.00,0.11,502.50,1000.00
144,10.1.0.40,10.1.0.86,1,1,0,100.00,0.24,1002.00,0.00
145,10.1.0.40,10.1.0.94,1,1,0,100.00,36.11,6.00,0.00
146,10.1.0.54,10.1.0.110,89,89,0,100.00,0.82,0.37,0.02
147,10.1.0.110,10.1.0.54,88,88,0,100.00,0.31,0.62,0.11
148,10.1.0.92,10.1.0.104,20,20,0,100.00,0.12,0.50,0.16
149,10.1.0.104,10.1.0.92,1,1,0,100.00,43.23,7.00,0.00
150,10.1.0.12,10.1.0.107,348,348,0,100.00,5.31,0.41,0.03
151,10.1.0.107,10.1.0.12,347,347,0,100.00,1.22,0.57,0.10
