NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5637,1.4363,71.81
1,ECG,2.0,0.5562,1.4438,72.19
2,ECG,2.0,0.5446,1.4554,72.77
3,ECG,2.0,0.5630,1.4370,71.85
4,ECG,2.0,0.5451,1.4549,72.75
5,ECG,2.0,0.5419,1.4581,72.91
6,ECG,2.0,0.5445,1.4555,72.77
7,ECG,2.0,0.5410,1.4590,72.95
8,ECG,2.0,0.5598,1.4402,72.01
9,ECG,2.0,0.5599,1.4401,72.01
10,ECG,2.0,0.5604,1.4396,71.98
11,ECG,2.0,0.5589,1.4411,72.05
12,ECG,2.0,0.5469,1.4531,72.66
13,ECG,2.0,0.5569,1.4431,72.15
14,ECG,2.0,0.5545,1.4455,72.27
15,ECG,2.0,0.5472,1.4528,72.64
16,ECG,2.0,0.5537,1.4463,72.32
17,ECG,2.0,0.5471,1.4529,72.65
18,ECG,2.0,0.5611,1.4389,71.94
19,ECG,2.0,0.5511,1.4489,72.44
20,ECG,2.0,0.5474,1.4526,72.63
21,ECG,2.0,0.5498,1.4502,72.51
22,ECG,2.0,0.5424,1.4576,72.88
23,ECG,2.0,0.5463,1.4537,72.68
24,ECG,2.0,0.5520,1.4480,72.40
25,ECG,2.0,0.5495,1.4505,72.53
26,ECG,2.0,0.5507,1.4493,72.46
27,ECG,2.0,0.5469,1.4531,72.65
28,ECG,2.0,0.5415,1.4585,72.92
29,ECG,2.0,0.5540,1.4460,72.30
30,ECG,2.0,0.5569,1.4431,72.16
31,ECG,2.0,0.5580,1.4420,72.10
32,ECG,2.0,0.5514,1.4486,72.43
33,HR,2.0,0.5468,1.4532,72.66
34,HR,2.0,0.5606,1.4394,71.97
35,HR,2.0,0.5448,1.4552,72.76
36,HR,2.0,0.5631,1.4369,71.85
37,HR,2.0,0.5454,1.4546,72.73
38,HR,2.0,0.5596,1.4404,72.02
39,HR,2.0,0.5458,1.4542,72.71
40,HR,2.0,0.5552,1.4448,72.24
41,HR,2.0,0.5430,1.4570,72.85
42,HR,2.0,0.5447,1.4553,72.76
43,HR,2.0,0.5639,1.4361,71.81
44,HR,2.0,0.5497,1.4503,72.52
45,HR,2.0,0.5429,1.4571,72.85
46,HR,2.0,0.5458,1.4542,72.71
47,HR,2.0,0.5444,1.4556,72.78
48,HR,2.0,0.5524,1.4476,72.38
49,HR,2.0,0.5539,1.4461,72.31
50,HR,2.0,0.5412,1.4588,72.94
51,HR,2.0,0.5574,1.4426,72.13
52,HR,2.0,0.5589,1.4411,72.06
53,HR,2.0,0.5483,1.4517,72.58
54,HR,2.0,0.5459,1.4541,72.71
55,HR,2.0,0.5413,1.4587,72.93
56,HR,2.0,0.5450,1.4550,72.75
57,HR,2.0,0.5417,1.4583,72.92
58,HR,2.0,0.5538,1.4462,72.31
59,HR,2.0,0.5554,1.4446,72.23
60,HR,2.0,0.5469,1.4531,72.66
61,HR,2.0,0.5521,1.4479,72.40
62,HR,2.0,0.5545,1.4455,72.28
63,HR,2.0,0.5610,1.4390,71.95
64,HR,2.0,0.5516,1.4484,72.42
65,HR,2.0,0.5643,1.4357,71.79
66,Temp,2.0,0.5586,1.4414,72.07
67,Temp,2.0,0.5431,1.4569,72.85
68,Temp,2.0,0.5642,1.4358,71.79
69,Temp,2.0,0.5650,1.4350,71.75
70,Temp,2.0,0.5433,1.4567,72.84
71,Temp,2.0,0.5435,1.4565,72.82
72,Temp,2.0,0.5521,1.4479,72.39
73,Temp,2.0,0.5503,1.4497,72.48
74,Temp,2.0,0.5532,1.4468,72.34
75,Temp,2.0,0.5626,1.4374,71.87
76,Temp,2.0,0.5423,1.4577,72.89
77,Temp,2.0,0.5487,1.4513,72.56
78,Temp,2.0,0.5547,1.4453,72.27
79,Temp,2.0,0.5475,1.4525,72.63
80,Temp,2.0,0.5529,1.4471,72.35
81,Temp,2.0,0.5495,1.4505,72.53
82,Temp,2.0,0.5575,1.4425,72.13
83,Temp,2.0,0.5618,1.4382,71.91
84,Temp,2.0,0.5565,1.4435,72.18
85,Temp,2.0,0.5499,1.4501,72.50
86,Temp,2.0,0.5485,1.4515,72.57
87,Temp,2.0,0.5611,1.4389,71.94
88,Temp,2.0,0.5630,1.4370,71.85
89,Temp,2.0,0.5620,1.4380,71.90
90,Temp,2.0,0.5600,1.4400,72.00
91,Temp,2.0,0.5475,1.4525,72.62
92,Temp,2.0,0.5422,1.4578,72.89
93,Temp,2.0,0.5580,1.4420,72.10
94,Temp,2.0,0.5519,1.4481,72.41
95,Temp,2.0,0.5442,1.4558,72.79
96,Temp,2.0,0.5621,1.4379,71.90
97,Temp,2.0,0.5409,1.4591,72.95
98,Temp,2.0,0.5450,1.4550,72.75
99,Temp,2.0,0.5413,1.4587,72.94
100,CH,5.0,1.4096,3.5904,71.81
101,CH,5.0,1.4049,3.5951,71.90
102,CH,5.0,1.4085,3.5915,71.83
103,CH,5.0,1.4069,3.5931,71.86
104,CH,5.0,1.3950,3.6050,72.10
105,CH,5.0,1.4008,3.5992,71.98
106,CH,5.0,1.3921,3.6079,72.16
107,CH,5.0,1.3937,3.6063,72.13
108,CH,5.0,1.4088,3.5912,71.82
109,CH,5.0,1.4119,3.5881,71.76
