FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.83,10.1.0.162,87,87,0,100.00,4.27,4.77,3.90
2,10.1.0.162,10.1.0.166,844,39,750,4.62,16.45,21.62,19.84
3,10.1.0.10,10.1.0.165,87,84,3,96.55,4.12,5.89,9.81
4,10.1.0.165,10.1.0.166,1384,77,1218,5.56,33.96,38.32,27.62
5,10.1.0.97,10.1.0.158,87,84,3,96.55,4.12,9.44,16.17
6,10.1.0.57,10.1.0.152,87,87,0,100.00,4.27,1.74,2.06
7,10.1.0.158,10.1.0.166,620,46,537,7.42,3.17,23.65,22.38
8,10.1.0.152,10.1.0.166,872,481,391,55.16,23.53,13.20,8.73
9,10.1.0.104,10.1.0.13,20,10,10,50.00,0.06,105.20,168.56
10,10.1.0.104,10.1.0.166,72,53,19,73.61,0.24,33.70,38.37
11,10.1.0.53,10.1.0.152,87,84,3,96.55,4.12,1.82,2.20
12,10.1.0.13,10.1.0.104,58,44,14,75.86,0.27,59.59,48.42
13,10.1.0.13,10.1.0.70,56,52,4,92.86,0.26,43.23,38.75
14,10.1.0.70,10.1.0.162,27,27,0,100.00,0.15,27.89,36.50
15,10.1.0.39,10.1.0.156,87,86,1,98.85,4.22,7.76,13.36
16,10.1.0.156,10.1.0.166,1351,1278,73,94.60,62.58,6.76,4.51
17,10.1.0.130,10.1.0.156,14,14,0,100.00,0.08,59.50,76.77
18,10.1.0.130,10.1.0.166,114,99,15,86.84,0.56,74.79,41.93
19,10.1.0.51,10.1.0.156,20,20,0,100.00,0.12,32.00,39.53
20,10.1.0.51,10.1.0.166,47,35,12,74.47,0.24,63.06,34.03
21,10.1.0.137,10.1.0.156,40,40,0,100.00,0.20,88.03,25.10
22,10.1.0.137,10.1.0.166,578,573,5,99.13,3.23,4.80,3.46
23,10.1.0.127,10.1.0.156,8,5,3,62.50,0.03,41.00,79.25
24,10.1.0.127,10.1.0.166,178,178,0,100.00,0.75,12.81,14.94
25,10.1.0.156,10.1.0.127,30,28,2,93.33,0.16,85.61,52.81
26,10.1.0.156,10.1.0.130,15,15,0,100.00,0.08,84.47,96.79
27,10.1.0.156,10.1.0.137,241,241,0,100.00,1.13,23.22,18.59
28,10.1.0.156,10.1.0.51,27,27,0,100.00,0.15,19.22,14.88
29,10.1.0.74,10.1.0.162,87,85,2,97.70,4.17,3.53,5.11
30,10.1.0.24,10.1.0.151,86,86,0,100.00,4.27,1.23,0.76
31,10.1.0.151,10.1.0.166,560,25,502,4.46,11.72,218.80,111.46
32,10.1.0.41,10.1.0.159,86,86,0,100.00,4.27,2.67,3.81
33,10.1.0.159,10.1.0.166,868,258,610,29.72,12.72,12.45,10.90
34,10.1.0.70,10.1.0.145,37,31,6,83.78,0.20,93.06,74.83
35,10.1.0.70,10.1.0.13,47,44,3,93.62,0.25,39.95,30.14
36,10.1.0.8,10.1.0.4,16,14,2,87.50,0.09,40.93,55.00
37,10.1.0.8,10.1.0.166,46,30,16,65.22,0.18,62.40,47.69
38,10.1.0.104,10.1.0.114,46,45,1,97.83,0.27,32.64,49.34
39,10.1.0.13,10.1.0.140,21,20,1,95.24,0.13,42.00,44.16
40,10.1.0.162,10.1.0.98,44,43,1,97.73,0.24,22.86,23.50
41,10.1.0.162,10.1.0.70,54,46,8,85.19,0.26,22.57,22.53
42,10.1.0.4,10.1.0.8,27,24,3,88.89,0.14,20.71,16.57
43,10.1.0.4,10.1.0.44,23,21,2,91.30,0.14,31.10,41.90
44,10.1.0.44,10.1.0.165,40,32,8,80.00,0.21,53.25,40.35
45,10.1.0.98,10.1.0.145,20,19,1,95.00,0.13,37.74,32.67
46,10.1.0.114,10.1.0.104,99,99,0,100.00,0.43,41.57,37.01
47,10.1.0.114,10.1.0.44,33,33,0,100.00,0.21,55.61,70.72
48,10.1.0.145,10.1.0.165,32,31,1,96.88,0.18,74.32,56.47
49,10.1.0.13,10.1.0.12,42,26,16,61.90,0.14,65.31,39.00
50,10.1.0.70,10.1.0.15,28,23,5,82.14,0.14,96.61,62.14
51,10.1.0.127,10.1.0.157,62,40,22,64.52,0.24,80.30,61.72
52,10.1.0.29,10.1.0.156,86,86,0,100.00,4.27,5.17,8.27
53,10.1.0.162,10.1.0.133,4,4,0,100.00,0.08,132.50,199.33
54,10.1.0.98,10.1.0.133,10,10,0,100.00,0.08,195.90,145.11
55,10.1.0.98,10.1.0.162,807,802,5,99.38,3.93,16.47,6.74
56,10.1.0.156,10.1.0.40,9,9,0,100.00,0.06,23.11,24.75
57,10.1.0.130,10.1.0.29,42,42,0,100.00,0.21,37.76,47.24
58,10.1.0.51,10.1.0.29,22,22,0,100.00,0.12,22.09,17.57
59,10.1.0.137,10.1.0.29,39,30,9,76.92,0.17,50.60,32.76
60,10.1.0.133,10.1.0.47,14,14,0,100.00,0.09,14.50,16.38
61,10.1.0.47,10.1.0.158,52,46,6,88.46,0.20,48.67,38.56
62,10.1.0.40,10.1.0.60,62,62,0,100.00,0.36,17.87,20.03
63,10.1.0.140,10.1.0.145,27,23,4,85.19,0.15,72.74,61.41
64,10.1.0.60,10.1.0.152,90,90,0,100.00,0.52,20.31,16.73
65,10.1.0.12,10.1.0.64,34,33,1,97.06,0.21,158.30,90.56
66,10.1.0.64,10.1.0.158,78,67,11,85.90,0.40,59.93,32.00
67,10.1.0.29,10.1.0.130,49,45,4,91.84,0.25,25.09,21.18
68,10.1.0.29,10.1.0.60,23,23,0,100.00,0.13,19.57,20.68
69,10.1.0.29,10.1.0.51,35,35,0,100.00,0.19,15.09,23.24
70,10.1.0.140,10.1.0.161,86,82,4,95.35,4.07,9.40,9.84
71,10.1.0.161,10.1.0.166,666,119,505,17.87,17.52,11.37,10.74
72,10.1.0.13,10.1.0.161,54,51,3,94.44,0.29,51.69,39.32
73,10.1.0.104,10.1.0.161,94,90,4,95.74,0.51,35.01,37.29
74,10.1.0.140,10.1.0.161,35,35,0,100.00,0.20,23.20,31.59
75,10.1.0.140,10.1.0.13,45,44,1,97.78,0.24,39.52,34.35
76,10.1.0.70,10.1.0.161,52,41,11,78.85,0.23,86.24,43.52
77,10.1.0.114,10.1.0.161,20,16,4,80.00,0.09,83.56,88.53
78,10.1.0.161,10.1.0.104,45,42,3,93.33,0.26,44.55,52.95
79,10.1.0.37,10.1.0.152,86,86,0,100.00,4.27,10.23,10.71
80,10.1.0.79,10.1.0.156,86,86,0,100.00,4.27,9.43,16.45
81,10.1.0.152,10.1.0.53,7,7,0,100.00,0.04,15.29,7.17
82,10.1.0.152,10.1.0.60,15,13,2,86.67,0.09,32.31,24.50
83,10.1.0.60,10.1.0.53,37,37,0,100.00,0.21,29.14,33.00
84,10.1.0.60,10.1.0.29,43,37,6,86.05,0.24,54.49,39.64
85,10.1.0.40,10.1.0.87,23,23,0,100.00,0.14,44.48,50.05
86,10.1.0.40,10.1.0.156,63,61,2,96.83,0.36,33.97,28.93
87,10.1.0.29,10.1.0.87,28,28,0,100.00,0.12,58.71,60.04
88,10.1.0.53,10.1.0.89,66,66,0,100.00,0.38,14.11,15.71
89,10.1.0.89,10.1.0.151,72,71,1,98.61,0.42,8.55,10.13
90,10.1.0.87,10.1.0.89,16,16,0,100.00,0.11,128.56,99.20
91,10.1.0.15,10.1.0.64,26,23,3,88.46,0.14,41.87,43.73
92,10.1.0.157,10.1.0.127,39,26,13,66.67,0.14,54.54,47.36
93,10.1.0.157,10.1.0.64,34,31,3,91.18,0.18,46.29,44.93
94,10.1.0.11,10.1.0.160,86,86,0,100.00,4.27,1.48,1.59
95,10.1.0.160,10.1.0.166,458,42,388,9.17,2.94,6.00,5.68
96,10.1.0.8,10.1.0.160,117,115,2,98.29,0.58,25.31,19.81
97,10.1.0.4,10.1.0.160,53,53,0,100.00,0.32,18.32,14.56
98,10.1.0.160,10.1.0.8,81,81,0,100.00,0.45,22.57,13.30
99,10.1.0.8,10.1.0.81,38,34,4,89.47,0.20,77.53,52.85
100,10.1.0.160,10.1.0.81,12,8,4,66.67,0.05,32.12,25.43
101,10.1.0.4,10.1.0.14,30,30,0,100.00,0.18,15.87,27.28
102,10.1.0.14,10.1.0.143,37,36,1,97.30,0.21,24.72,20.51
103,10.1.0.143,10.1.0.159,70,70,0,100.00,0.40,46.63,30.90
104,10.1.0.81,10.1.0.88,26,24,2,92.31,0.15,157.29,90.74
105,10.1.0.81,10.1.0.8,34,31,3,91.18,0.17,25.13,36.77
106,10.1.0.81,10.1.0.160,85,68,17,80.00,3.41,3.04,4.52
107,10.1.0.144,10.1.0.154,85,85,0,100.00,4.27,0.87,0.36
108,10.1.0.154,10.1.0.166,778,34,697,4.37,2.51,121.38,57.00
109,10.1.0.50,10.1.0.155,85,85,0,100.00,4.27,2.05,2.37
110,10.1.0.155,10.1.0.166,877,295,582,33.64,14.67,6.81,5.22
111,10.1.0.40,10.1.0.155,21,15,6,71.43,0.09,74.53,86.29
112,10.1.0.129,10.1.0.154,85,83,2,97.65,4.17,5.61,6.83
113,10.1.0.26,10.1.0.165,85,82,3,96.47,4.12,3.43,3.74
114,10.1.0.9,10.1.0.155,85,85,0,100.00,4.27,6.76,8.15
115,10.1.0.126,10.1.0.163,85,85,0,100.00,4.27,0.96,0.50
116,10.1.0.163,10.1.0.166,455,26,400,5.71,1.83,116.12,146.16
117,10.1.0.92,10.1.0.155,85,85,0,100.00,4.27,1.39,1.30
118,10.1.0.136,10.1.0.163,85,84,1,98.82,4.22,2.11,2.29
119,10.1.0.86,10.1.0.165,85,78,7,91.76,3.92,3.17,4.47
120,10.1.0.158,10.1.0.129,21,21,0,100.00,0.13,65.14,68.25
121,10.1.0.158,10.1.0.64,50,43,7,86.00,0.27,56.95,49.69
122,10.1.0.64,10.1.0.157,83,78,5,93.98,0.47,26.15,29.44
123,10.1.0.64,10.1.0.112,72,72,0,100.00,0.32,17.79,18.51
124,10.1.0.12,10.1.0.112,22,17,5,77.27,0.11,195.29,235.44
125,10.1.0.12,10.1.0.13,45,28,17,62.22,0.17,135.93,92.96
126,10.1.0.25,10.1.0.165,85,73,12,85.88,3.67,17.88,20.39
127,10.1.0.47,10.1.0.38,30,29,1,96.67,0.19,48.45,38.54
128,10.1.0.47,10.1.0.133,25,25,0,100.00,0.17,19.68,36.21
129,10.1.0.133,10.1.0.162,21,21,0,100.00,0.11,9.52,16.65
130,10.1.0.112,10.1.0.129,32,31,1,96.88,0.13,29.00,37.57
131,10.1.0.38,10.1.0.129,51,49,2,96.08,0.32,99.08,52.12
132,10.1.0.129,10.1.0.154,64,63,1,98.44,0.38,20.49,15.27
133,10.1.0.89,10.1.0.151,85,85,0,100.00,4.27,3.58,5.36
134,10.1.0.63,10.1.0.156,85,83,2,97.65,4.17,14.04,20.40
135,10.1.0.103,10.1.0.155,85,85,0,100.00,4.27,1.65,1.14
136,10.1.0.138,10.1.0.164,85,85,0,100.00,4.27,3.28,4.74
137,10.1.0.98,10.1.0.162,85,85,0,100.00,4.27,6.28,4.68
138,10.1.0.164,10.1.0.166,781,167,565,21.38,13.53,5.21,2.05
139,10.1.0.88,10.1.0.159,37,37,0,100.00,0.22,17.32,28.39
140,10.1.0.44,10.1.0.164,75,75,0,100.00,0.36,35.09,29.85
141,10.1.0.44,10.1.0.4,13,12,1,92.31,0.07,40.75,45.00
142,10.1.0.4,10.1.0.164,22,20,2,90.91,0.14,33.30,25.26
143,10.1.0.164,10.1.0.100,49,48,1,97.96,0.28,24.38,30.74
144,10.1.0.164,10.1.0.4,20,12,8,60.00,0.07,47.00,23.91
145,10.1.0.14,10.1.0.19,20,16,4,80.00,0.10,98.19,103.27
146,10.1.0.14,10.1.0.4,60,60,0,100.00,0.35,20.40,25.64
147,10.1.0.4,10.1.0.19,29,29,0,100.00,0.14,92.48,76.71
148,10.1.0.88,10.1.0.136,45,45,0,100.00,0.31,12.84,15.36
149,10.1.0.88,10.1.0.81,15,8,7,53.33,0.05,305.75,252.14
150,10.1.0.159,10.1.0.136,25,23,2,92.00,0.14,50.17,51.73
151,10.1.0.159,10.1.0.88,11,11,0,100.00,0.06,34.45,60.70
152,10.1.0.100,10.1.0.163,70,69,1,98.57,0.41,4.00,4.41
153,10.1.0.143,10.1.0.41,24,23,1,95.83,0.14,118.30,91.59
