FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.125,10.1.0.209,96,85,8,88.54,0.74,83.72,70.48
2,10.1.0.209,10.1.0.125,85,81,4,95.29,0.26,134.35,103.30
3,10.1.0.198,10.1.0.214,21,19,1,90.48,0.11,210.68,256.50
4,10.1.0.214,10.1.0.198,1,1,0,100.00,35.21,8.00,0.00
5,10.1.0.75,10.1.0.202,95,88,6,92.63,0.76,41.07,59.39
6,10.1.0.202,10.1.0.75,87,83,2,95.40,0.27,139.00,109.87
7,10.1.0.13,10.1.0.202,372,322,36,86.56,4.55,107.13,104.97
8,10.1.0.202,10.1.0.13,321,303,14,94.39,0.99,126.64,71.05
9,10.1.0.43,10.1.0.209,371,319,47,85.98,4.55,109.52,108.04
10,10.1.0.113,10.1.0.204,95,94,1,98.95,0.82,68.89,98.68
11,10.1.0.204,10.1.0.113,93,93,0,100.00,0.31,43.26,59.09
12,10.1.0.209,10.1.0.43,318,292,21,91.82,0.95,152.82,101.65
13,10.1.0.188,10.1.0.202,21,21,0,100.00,0.12,116.05,144.95
14,10.1.0.202,10.1.0.188,1,1,0,100.00,43.22,7.00,0.00
15,10.1.0.144,10.1.0.209,21,10,8,47.62,0.07,122.90,140.33
16,10.1.0.209,10.1.0.144,1,1,0,100.00,64.77,4.00,0.00
17,10.1.0.197,10.1.0.216,22,21,1,95.45,0.12,70.86,123.85
18,10.1.0.216,10.1.0.197,2,2,0,100.00,0.02,6.00,1.00
19,10.1.0.106,10.1.0.217,96,69,25,71.88,0.60,79.65,89.01
20,10.1.0.217,10.1.0.106,68,67,1,98.53,0.22,72.24,74.76
21,10.1.0.64,10.1.0.203,375,356,17,94.93,5.10,29.30,35.94
22,10.1.0.203,10.1.0.64,355,316,26,89.01,1.04,161.41,102.63
23,10.1.0.49,10.1.0.213,371,328,33,88.41,4.73,119.32,117.47
24,10.1.0.209,10.1.0.221,750,51,660,6.80,0.71,400.57,208.52
25,10.1.0.213,10.1.0.49,328,245,77,74.70,0.82,264.13,111.91
26,10.1.0.10,10.1.0.209,276,238,29,86.23,0.95,151.95,83.53
27,10.1.0.10,10.1.0.221,126,19,96,15.08,0.09,248.89,235.94
28,10.1.0.55,10.1.0.209,192,157,30,81.77,0.63,191.84,119.14
29,10.1.0.55,10.1.0.221,83,26,57,31.33,0.11,173.77,83.48
30,10.1.0.165,10.1.0.209,51,14,32,27.45,0.06,133.00,131.92
31,10.1.0.165,10.1.0.221,144,22,116,15.28,0.09,256.23,241.05
32,10.1.0.28,10.1.0.209,43,10,30,23.26,0.05,255.00,216.44
33,10.1.0.28,10.1.0.221,85,18,62,21.18,0.10,220.33,160.12
34,10.1.0.214,10.1.0.221,1018,113,845,11.10,1.26,600.18,184.46
35,10.1.0.209,10.1.0.28,77,14,60,18.18,0.07,106.00,70.00
36,10.1.0.209,10.1.0.165,46,9,32,19.57,0.04,115.67,103.12
37,10.1.0.209,10.1.0.55,224,163,60,72.77,0.65,219.60,98.04
38,10.1.0.34,10.1.0.214,162,133,27,82.10,0.53,207.81,95.06
39,10.1.0.34,10.1.0.221,174,19,147,10.92,0.10,121.32,64.44
40,10.1.0.209,10.1.0.10,326,275,42,84.36,1.09,175.36,81.15
41,10.1.0.214,10.1.0.34,165,140,25,84.85,0.57,147.79,90.96
42,10.1.0.25,10.1.0.208,374,334,38,89.30,4.77,135.16,120.97
