FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.51,10.1.0.154,87,87,0,100.00,4.27,0.74,0.08
2,10.1.0.105,10.1.0.160,87,87,0,100.00,4.27,0.70,0.03
3,10.1.0.41,10.1.0.165,87,87,0,100.00,4.27,28.80,19.71
4,10.1.0.72,10.1.0.155,87,87,0,100.00,4.27,0.89,0.41
5,10.1.0.76,10.1.0.160,87,87,0,100.00,4.27,1.48,1.52
6,10.1.0.55,10.1.0.152,87,87,0,100.00,4.27,0.75,0.09
7,10.1.0.93,10.1.0.159,87,87,0,100.00,4.27,0.76,0.09
8,10.1.0.22,10.1.0.156,87,87,0,100.00,4.27,0.74,0.10
9,10.1.0.47,10.1.0.165,87,87,0,100.00,4.27,1.03,0.73
10,10.1.0.27,10.1.0.157,87,87,0,100.00,4.27,0.74,0.12
11,10.1.0.17,10.1.0.152,86,86,0,100.00,4.27,0.72,0.04
12,10.1.0.59,10.1.0.66,1,1,0,100.00,0.38,1008.00,0.00
13,10.1.0.59,10.1.0.165,5,5,0,100.00,0.10,208.40,259.50
14,10.1.0.112,10.1.0.66,1,1,0,100.00,0.38,1005.00,0.00
15,10.1.0.112,10.1.0.165,24,24,0,100.00,0.47,5.62,6.26
16,10.1.0.102,10.1.0.66,3,3,0,100.00,0.02,336.00,503.50
17,10.1.0.102,10.1.0.165,14,14,0,100.00,0.08,6.43,7.46
18,10.1.0.120,10.1.0.124,3,3,0,100.00,0.07,20.67,16.00
19,10.1.0.120,10.1.0.165,4,4,0,100.00,0.08,15.75,14.33
20,10.1.0.150,10.1.0.124,3,3,0,100.00,0.07,13.67,13.50
21,10.1.0.150,10.1.0.165,4,4,0,100.00,0.08,16.25,21.33
22,10.1.0.52,10.1.0.124,3,3,0,100.00,0.07,15.33,8.50
23,10.1.0.52,10.1.0.165,9,9,0,100.00,0.05,29.44,29.38
24,10.1.0.125,10.1.0.124,3,0,3,0.00,0.00,0.00,0.00
25,10.1.0.125,10.1.0.165,4,4,0,100.00,0.02,7.25,4.00
26,10.1.0.70,10.1.0.124,3,0,3,0.00,0.00,0.00,0.00
27,10.1.0.70,10.1.0.165,4,4,0,100.00,0.02,7.00,7.33
28,10.1.0.124,10.1.0.52,5,4,1,80.00,0.07,255.25,339.67
29,10.1.0.124,10.1.0.92,4,4,0,100.00,0.03,6.25,4.33
30,10.1.0.124,10.1.0.150,3,3,0,100.00,0.04,11.00,0.50
31,10.1.0.92,10.1.0.41,3,3,0,100.00,107.41,4.67,3.50
32,10.1.0.124,10.1.0.120,3,3,0,100.00,0.04,14.67,4.00
33,10.1.0.100,10.1.0.162,86,86,0,100.00,4.27,2.26,1.32
34,10.1.0.30,10.1.0.100,3,3,0,100.00,0.02,14.33,35.50
35,10.1.0.30,10.1.0.162,47,47,0,100.00,0.23,8.36,4.20
36,10.1.0.100,10.1.0.30,12,12,0,100.00,0.09,6.67,5.64
37,10.1.0.118,10.1.0.158,86,86,0,100.00,4.27,0.77,0.11
38,10.1.0.98,10.1.0.157,86,86,0,100.00,4.27,0.73,0.07
39,10.1.0.134,10.1.0.157,86,86,0,100.00,4.27,0.78,0.19
40,10.1.0.37,10.1.0.164,86,86,0,100.00,4.27,0.77,0.12
41,10.1.0.38,10.1.0.160,86,86,0,100.00,4.27,1.08,0.74
42,10.1.0.95,10.1.0.158,85,85,0,100.00,4.27,0.74,0.08
43,10.1.0.66,10.1.0.112,19,19,0,100.00,0.39,27.53,9.33
44,10.1.0.66,10.1.0.41,3,3,0,100.00,101.80,8.67,0.50
45,10.1.0.66,10.1.0.102,1,1,0,100.00,13.67,17.00,0.00
46,10.1.0.66,10.1.0.59,2,2,0,100.00,0.06,6.00,9.00
47,10.1.0.111,10.1.0.155,85,85,0,100.00,4.27,0.73,0.07
48,10.1.0.79,10.1.0.156,85,85,0,100.00,4.27,1.06,0.69
49,10.1.0.78,10.1.0.163,85,85,0,100.00,4.27,0.68,0.02
50,10.1.0.110,10.1.0.158,85,85,0,100.00,4.27,0.82,0.30
51,10.1.0.24,10.1.0.153,85,85,0,100.00,4.27,0.81,0.20
52,10.1.0.144,10.1.0.160,85,85,0,100.00,4.27,0.94,0.51
53,10.1.0.39,10.1.0.165,85,85,0,100.00,4.27,2.85,2.37
54,10.1.0.66,10.1.0.39,2,2,0,100.00,0.04,11.00,20.00
55,10.1.0.41,10.1.0.39,3,3,0,100.00,0.03,16.33,22.00
56,10.1.0.41,10.1.0.66,10,10,0,100.00,0.22,1.50,1.78
57,10.1.0.59,10.1.0.39,3,3,0,100.00,0.07,59.33,80.00
58,10.1.0.112,10.1.0.39,3,3,0,100.00,0.07,21.67,35.50
59,10.1.0.102,10.1.0.39,3,3,0,100.00,0.07,13.67,27.50
60,10.1.0.52,10.1.0.39,3,3,0,100.00,0.03,375.00,489.50
61,10.1.0.39,10.1.0.102,6,5,1,83.33,0.12,6.80,7.75
62,10.1.0.39,10.1.0.112,2,2,0,100.00,0.03,4.50,8.00
63,10.1.0.123,10.1.0.158,84,84,0,100.00,4.27,0.71,0.07
64,10.1.0.39,10.1.0.59,4,4,0,100.00,0.06,5.25,4.67
65,10.1.0.89,10.1.0.163,84,84,0,100.00,4.27,0.77,0.11
66,10.1.0.3,10.1.0.156,84,84,0,100.00,4.27,0.74,0.07
67,10.1.0.26,10.1.0.161,84,84,0,100.00,4.27,1.23,1.05
68,10.1.0.20,10.1.0.158,84,84,0,100.00,4.27,0.70,0.04
69,10.1.0.65,10.1.0.159,84,84,0,100.00,4.27,0.85,0.33
70,10.1.0.81,10.1.0.161,84,84,0,100.00,4.27,0.76,0.12
71,10.1.0.128,10.1.0.155,84,84,0,100.00,4.27,1.10,0.81
72,10.1.0.140,10.1.0.163,84,84,0,100.00,4.27,0.75,0.10
73,10.1.0.124,10.1.0.165,84,84,0,100.00,4.27,2.18,1.07
74,10.1.0.21,10.1.0.153,84,84,0,100.00,4.27,0.69,0.04
75,10.1.0.125,10.1.0.165,84,84,0,100.00,4.27,0.70,0.08
76,10.1.0.75,10.1.0.163,84,84,0,100.00,4.27,0.70,0.06
77,10.1.0.39,10.1.0.52,5,5,0,100.00,0.04,8.40,13.00
78,10.1.0.4,10.1.0.158,84,84,0,100.00,4.27,0.68,0.02
79,10.1.0.45,10.1.0.152,83,83,0,100.00,4.27,0.77,0.11
80,10.1.0.109,10.1.0.154,83,83,0,100.00,4.27,0.77,0.11
81,10.1.0.90,10.1.0.155,83,83,0,100.00,4.27,0.77,0.11
82,10.1.0.50,10.1.0.163,83,83,0,100.00,4.27,0.73,0.07
83,10.1.0.130,10.1.0.162,83,83,0,100.00,4.27,1.64,0.11
84,10.1.0.30,10.1.0.130,1,1,0,100.00,103.73,3.00,0.00
85,10.1.0.100,10.1.0.130,2,2,0,100.00,0.01,5.00,9.00
86,10.1.0.130,10.1.0.30,12,12,0,100.00,0.10,6.67,6.91
87,10.1.0.32,10.1.0.163,83,83,0,100.00,4.27,0.78,0.12
88,10.1.0.103,10.1.0.153,83,83,0,100.00,4.27,0.73,0.09
