FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.118,10.1.0.184,95,94,1,98.95,0.82,7.22,12.28
2,10.1.0.184,10.1.0.118,93,92,1,98.92,0.30,13.43,23.32
3,10.1.0.110,10.1.0.181,95,95,0,100.00,0.83,19.04,28.71
4,10.1.0.181,10.1.0.110,94,94,0,100.00,0.31,2.18,3.26
5,10.1.0.31,10.1.0.189,373,282,91,75.60,4.02,53.24,49.74
6,10.1.0.189,10.1.0.31,281,261,20,92.88,0.86,19.14,12.87
7,10.1.0.10,10.1.0.187,375,359,16,95.73,5.13,38.05,35.70
8,10.1.0.187,10.1.0.10,358,355,3,99.16,1.17,28.57,26.37
9,10.1.0.45,10.1.0.196,371,370,1,99.73,5.29,6.79,12.03
10,10.1.0.196,10.1.0.45,369,364,5,98.64,1.20,35.32,24.75
11,10.1.0.74,10.1.0.187,97,94,3,96.91,0.82,29.45,44.13
12,10.1.0.187,10.1.0.74,93,93,0,100.00,0.31,31.47,37.58
13,10.1.0.113,10.1.0.185,94,94,0,100.00,0.82,12.40,24.24
14,10.1.0.185,10.1.0.113,93,93,0,100.00,0.31,1.31,0.86
15,10.1.0.103,10.1.0.183,94,93,1,98.94,0.81,7.19,11.48
16,10.1.0.183,10.1.0.103,92,92,0,100.00,0.31,20.48,31.19
17,10.1.0.135,10.1.0.183,42,41,1,97.62,0.27,12.12,14.03
18,10.1.0.135,10.1.0.103,24,0,24,0.00,0.00,0.00,0.00
19,10.1.0.174,10.1.0.183,120,119,1,99.17,0.92,26.08,32.17
20,10.1.0.174,10.1.0.103,66,65,1,98.48,0.50,33.78,33.55
21,10.1.0.103,10.1.0.183,48,48,0,100.00,0.31,12.58,19.47
22,10.1.0.54,10.1.0.183,53,0,53,0.00,0.00,0.00,0.00
23,10.1.0.54,10.1.0.103,59,59,0,100.00,0.52,32.24,31.93
24,10.1.0.183,10.1.0.174,59,58,1,98.31,0.29,151.36,61.46
25,10.1.0.183,10.1.0.135,15,15,0,100.00,0.18,70.40,69.07
26,10.1.0.184,10.1.0.201,2014,42,1775,2.09,3.70,78.40,60.63
27,10.1.0.73,10.1.0.195,95,90,5,94.74,0.79,40.01,50.57
28,10.1.0.64,10.1.0.197,94,91,3,96.81,0.79,9.32,13.86
29,10.1.0.197,10.1.0.64,90,89,1,98.89,0.30,38.60,59.55
30,10.1.0.195,10.1.0.73,89,87,2,97.75,0.29,67.62,54.94
31,10.1.0.181,10.1.0.201,1079,58,921,5.38,2.07,213.69,136.09
32,10.1.0.189,10.1.0.201,2125,114,1792,5.36,8.03,7.25,5.98
33,10.1.0.25,10.1.0.189,59,59,0,100.00,0.46,92.90,78.59
34,10.1.0.25,10.1.0.201,35,31,4,88.57,1.36,12.68,9.60
