FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.44,10.1.0.195,87,73,14,83.91,3.58,70.01,84.96
2,10.1.0.117,10.1.0.200,87,79,7,90.80,3.87,66.81,95.35
3,10.1.0.130,10.1.0.200,87,83,3,95.40,4.07,44.18,55.68
4,10.1.0.82,10.1.0.191,87,85,2,97.70,4.17,24.33,35.93
5,10.1.0.5,10.1.0.195,87,78,7,89.66,3.82,100.92,109.57
6,10.1.0.166,10.1.0.184,87,86,1,98.85,4.22,17.10,23.47
7,10.1.0.62,10.1.0.185,87,86,1,98.85,4.22,1.97,1.94
8,10.1.0.94,10.1.0.190,87,83,4,95.40,4.07,44.73,63.78
9,10.1.0.36,10.1.0.181,87,87,0,100.00,4.27,0.98,0.44
10,10.1.0.79,10.1.0.199,86,86,0,100.00,4.27,5.53,7.54
11,10.1.0.31,10.1.0.191,86,85,1,98.84,4.22,12.29,21.69
12,10.1.0.70,10.1.0.181,86,78,8,90.70,3.87,4.51,6.00
13,10.1.0.18,10.1.0.187,86,84,2,97.67,4.15,108.64,127.19
14,10.1.0.3,10.1.0.199,86,71,13,82.56,3.52,24.20,30.89
15,10.1.0.61,10.1.0.182,86,84,2,97.67,4.17,32.51,47.13
16,10.1.0.137,10.1.0.197,86,86,0,100.00,4.27,1.80,2.20
17,10.1.0.116,10.1.0.199,86,85,1,98.84,4.22,13.09,20.19
18,10.1.0.64,10.1.0.190,86,62,23,72.09,3.10,63.94,81.18
19,10.1.0.110,10.1.0.189,86,34,47,39.53,1.84,63.62,71.36
20,10.1.0.114,10.1.0.195,86,83,3,96.51,4.10,70.39,98.23
21,10.1.0.176,10.1.0.189,86,32,50,37.21,1.67,13.50,19.06
22,10.1.0.171,10.1.0.193,86,84,2,97.67,4.14,70.31,78.37
23,10.1.0.28,10.1.0.189,86,84,1,97.67,4.17,37.42,47.36
24,10.1.0.25,10.1.0.196,85,85,0,100.00,4.27,1.45,1.33
25,10.1.0.30,10.1.0.197,85,78,7,91.76,3.92,11.74,19.32
26,10.1.0.149,10.1.0.191,85,81,4,95.29,4.07,10.96,15.50
27,10.1.0.4,10.1.0.184,85,82,3,96.47,4.10,57.04,77.09
28,10.1.0.177,10.1.0.190,85,77,8,90.59,3.85,92.87,81.62
29,10.1.0.142,10.1.0.196,85,85,0,100.00,4.27,1.38,1.23
30,10.1.0.69,10.1.0.193,85,38,44,44.71,2.00,25.37,29.35
31,10.1.0.121,10.1.0.192,85,79,6,92.94,4.01,41.46,60.36
32,10.1.0.164,10.1.0.182,85,84,1,98.82,4.22,14.54,23.75
33,10.1.0.73,10.1.0.188,85,49,32,57.65,2.55,47.47,43.17
34,10.1.0.143,10.1.0.183,85,75,10,88.24,3.75,141.24,136.05
35,10.1.0.7,10.1.0.197,85,75,10,88.24,3.77,18.15,21.07
36,10.1.0.118,10.1.0.200,85,82,2,96.47,4.11,81.39,95.44
37,10.1.0.134,10.1.0.199,85,76,7,89.41,3.81,94.33,123.15
38,10.1.0.13,10.1.0.186,85,83,2,97.65,4.17,5.22,5.63
39,10.1.0.98,10.1.0.193,85,76,9,89.41,3.80,153.22,125.47
40,10.1.0.163,10.1.0.192,85,74,9,87.06,3.71,169.41,180.99
41,10.1.0.147,10.1.0.187,85,46,36,54.12,2.40,71.85,90.93
42,10.1.0.156,10.1.0.195,84,77,7,91.67,3.90,83.90,98.51
43,10.1.0.20,10.1.0.190,84,76,7,90.48,3.91,12.13,21.11
44,10.1.0.41,10.1.0.190,84,81,3,96.43,4.10,14.42,21.05
45,10.1.0.141,10.1.0.187,84,83,1,98.81,4.22,7.07,12.20
46,10.1.0.16,10.1.0.199,84,83,1,98.81,4.22,36.67,60.72
47,10.1.0.45,10.1.0.195,84,52,28,61.90,2.78,69.35,88.61
48,10.1.0.101,10.1.0.194,84,70,12,83.33,3.59,143.07,158.94
49,10.1.0.33,10.1.0.198,84,80,4,95.24,4.05,89.39,88.81
50,10.1.0.160,10.1.0.182,84,66,17,78.57,3.38,145.14,178.74
51,10.1.0.91,10.1.0.194,84,35,46,41.67,1.86,144.71,193.65
52,10.1.0.95,10.1.0.196,84,84,0,100.00,4.27,4.88,8.11
53,10.1.0.27,10.1.0.185,84,84,0,100.00,4.26,4.42,5.71
54,10.1.0.56,10.1.0.186,84,84,0,100.00,4.27,4.33,5.37
55,10.1.0.89,10.1.0.189,84,60,24,71.43,3.05,71.83,77.81
56,10.1.0.90,10.1.0.187,83,31,49,37.35,1.65,48.35,79.53
57,10.1.0.167,10.1.0.184,83,65,18,78.31,3.33,108.58,95.25
58,10.1.0.54,10.1.0.199,83,82,1,98.80,4.22,27.96,47.48
59,10.1.0.10,10.1.0.198,83,83,0,100.00,4.26,52.63,53.95
60,10.1.0.2,10.1.0.184,83,78,5,93.98,4.01,49.90,63.55
61,10.1.0.120,10.1.0.184,83,82,1,98.80,4.22,88.07,96.60
62,10.1.0.168,10.1.0.200,83,80,3,96.39,4.11,47.55,71.80
63,10.1.0.102,10.1.0.198,83,83,0,100.00,4.27,17.87,27.41
64,10.1.0.111,10.1.0.184,83,82,1,98.80,4.21,67.32,71.19
65,10.1.0.88,10.1.0.186,83,82,1,98.80,4.21,21.50,32.68
66,10.1.0.67,10.1.0.181,83,82,1,98.80,4.22,18.59,30.72
67,10.1.0.133,10.1.0.191,82,78,4,95.12,4.11,17.51,26.64
68,10.1.0.83,10.1.0.194,82,62,20,75.61,3.22,104.68,90.89
69,10.1.0.125,10.1.0.192,82,67,13,81.71,3.53,63.93,85.52
70,10.1.0.153,10.1.0.183,82,78,4,95.12,4.06,83.26,97.09
71,10.1.0.57,10.1.0.197,82,81,1,98.78,4.22,16.06,19.88
72,10.1.0.52,10.1.0.189,82,79,2,96.34,4.11,64.76,78.26
73,10.1.0.65,10.1.0.188,82,79,3,96.34,4.11,81.76,109.79
74,10.1.0.53,10.1.0.198,82,82,0,100.00,4.27,9.41,14.70
75,10.1.0.8,10.1.0.189,82,81,1,98.78,4.20,67.56,87.03
76,10.1.0.123,10.1.0.184,81,81,0,100.00,4.27,10.89,14.85
77,10.1.0.161,10.1.0.187,81,33,46,40.74,1.78,47.79,67.06
78,10.1.0.29,10.1.0.195,81,71,9,87.65,3.74,136.92,165.50
79,10.1.0.144,10.1.0.184,81,79,2,97.53,4.16,59.37,104.08
80,10.1.0.146,10.1.0.193,81,77,3,95.06,4.04,117.79,126.09
81,10.1.0.175,10.1.0.183,81,76,5,93.83,4.01,65.33,76.23
82,10.1.0.39,10.1.0.182,81,69,11,85.19,3.64,31.19,43.44
83,10.1.0.49,10.1.0.183,81,77,4,95.06,4.06,49.27,58.29
84,10.1.0.127,10.1.0.183,80,72,8,90.00,3.84,115.24,96.34
85,10.1.0.6,10.1.0.194,80,72,6,90.00,3.83,128.72,166.58
86,10.1.0.19,10.1.0.200,80,51,26,63.75,2.76,19.47,25.82
87,10.1.0.48,10.1.0.199,80,80,0,100.00,4.27,7.83,9.87
88,10.1.0.132,10.1.0.198,80,79,1,98.75,4.21,29.63,38.86
89,10.1.0.38,10.1.0.190,80,68,11,85.00,3.67,113.68,132.96
90,10.1.0.76,10.1.0.181,80,80,0,100.00,4.27,2.95,3.59
91,10.1.0.154,10.1.0.197,80,79,1,98.75,4.22,4.04,6.53
92,10.1.0.122,10.1.0.189,80,76,4,95.00,4.04,114.26,117.79
93,10.1.0.124,10.1.0.190,80,80,0,100.00,4.27,18.48,28.81
94,10.1.0.85,10.1.0.183,80,76,4,95.00,4.06,71.38,89.04
95,10.1.0.109,10.1.0.188,80,71,9,88.75,3.79,123.10,124.59
96,10.1.0.51,10.1.0.188,80,79,1,98.75,4.22,7.18,11.46
97,10.1.0.131,10.1.0.181,80,80,0,100.00,4.27,1.32,1.09
98,10.1.0.23,10.1.0.195,80,58,19,72.50,3.22,133.22,119.72
99,10.1.0.59,10.1.0.184,80,71,8,88.75,3.79,68.30,84.66
100,10.1.0.162,10.1.0.197,80,73,7,91.25,3.90,4.52,6.96
101,10.1.0.150,10.1.0.199,79,59,18,74.68,3.22,173.51,171.43
102,10.1.0.84,10.1.0.182,79,67,12,84.81,3.62,9.90,14.86
103,10.1.0.128,10.1.0.191,79,78,1,98.73,4.22,43.85,64.43
104,10.1.0.113,10.1.0.193,79,76,2,96.20,4.15,90.24,87.55
105,10.1.0.92,10.1.0.195,79,74,5,93.67,3.99,66.14,84.89
106,10.1.0.170,10.1.0.185,79,78,1,98.73,4.21,27.92,41.92
107,10.1.0.77,10.1.0.194,79,65,14,82.28,3.49,122.03,93.12
108,10.1.0.43,10.1.0.189,79,36,39,45.57,2.05,66.47,66.23
109,10.1.0.21,10.1.0.182,79,34,42,43.04,1.84,35.29,49.64
110,10.1.0.159,10.1.0.190,79,74,5,93.67,3.98,64.12,65.14
111,10.1.0.86,10.1.0.196,79,77,1,97.47,4.16,2.23,2.83
112,10.1.0.40,10.1.0.196,79,79,0,100.00,4.27,32.92,59.32
113,10.1.0.17,10.1.0.194,79,70,8,88.61,3.72,163.19,168.29
114,10.1.0.169,10.1.0.199,79,74,5,93.67,3.99,107.77,109.55
