FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.44,10.1.0.195,374,362,12,96.79,5.15,17.20,21.53
2,10.1.0.195,10.1.0.44,361,330,31,91.41,1.08,101.81,67.88
3,10.1.0.117,10.1.0.200,97,94,3,96.91,0.82,47.56,56.66
4,10.1.0.200,10.1.0.117,93,80,13,86.02,0.26,8.46,14.04
5,10.1.0.130,10.1.0.200,21,21,0,100.00,0.12,6.29,11.10
6,10.1.0.200,10.1.0.130,1,1,0,100.00,31.62,9.00,0.00
7,10.1.0.82,10.1.0.191,94,91,3,96.81,0.79,29.73,43.28
8,10.1.0.195,10.1.0.201,2156,121,1825,5.61,1.87,95.40,44.93
9,10.1.0.5,10.1.0.195,371,348,23,93.80,4.97,60.09,57.54
10,10.1.0.191,10.1.0.82,90,90,0,100.00,0.30,19.28,30.47
11,10.1.0.195,10.1.0.5,347,328,19,94.52,1.08,96.31,49.61
12,10.1.0.166,10.1.0.184,21,21,0,100.00,0.12,6.71,11.20
13,10.1.0.184,10.1.0.166,1,1,0,100.00,76.14,3.00,0.00
14,10.1.0.62,10.1.0.185,94,92,2,97.87,0.80,1.80,2.64
15,10.1.0.200,10.1.0.201,876,23,767,2.63,2.27,321.09,138.41
16,10.1.0.185,10.1.0.62,91,91,0,100.00,0.30,5.98,9.69
17,10.1.0.94,10.1.0.190,94,94,0,100.00,0.82,1.14,1.15
18,10.1.0.190,10.1.0.94,93,93,0,100.00,0.31,16.05,20.66
19,10.1.0.36,10.1.0.181,371,370,1,99.73,5.31,1.10,1.30
20,10.1.0.181,10.1.0.36,369,369,0,100.00,1.22,4.44,6.73
21,10.1.0.191,10.1.0.201,575,46,476,8.00,3.21,47.17,41.33
22,10.1.0.79,10.1.0.199,94,93,1,98.94,0.81,2.25,3.16
23,10.1.0.184,10.1.0.201,1584,65,1368,4.10,8.97,18.49,15.98
24,10.1.0.199,10.1.0.79,92,91,1,98.91,0.30,44.47,61.59
25,10.1.0.6,10.1.0.75,28,0,27,0.00,0.00,0.00,0.00
26,10.1.0.6,10.1.0.201,50,10,40,20.00,0.05,88.50,118.78
27,10.1.0.87,10.1.0.75,25,0,25,0.00,0.00,0.00,0.00
28,10.1.0.87,10.1.0.201,107,13,94,12.15,0.06,228.92,194.58
29,10.1.0.140,10.1.0.75,13,3,10,23.08,0.01,65.33,91.00
30,10.1.0.140,10.1.0.201,85,24,61,28.24,0.11,119.96,97.87
31,10.1.0.91,10.1.0.101,34,20,14,58.82,0.09,293.70,187.95
32,10.1.0.91,10.1.0.201,57,17,40,29.82,0.08,69.94,116.38
33,10.1.0.105,10.1.0.101,48,12,36,25.00,0.05,258.92,324.91
34,10.1.0.105,10.1.0.201,302,232,70,76.82,0.95,166.59,61.30
35,10.1.0.155,10.1.0.101,18,3,15,16.67,0.01,520.67,405.00
36,10.1.0.155,10.1.0.201,389,365,24,93.83,1.67,88.18,43.76
37,10.1.0.69,10.1.0.101,22,7,15,31.82,0.03,313.86,270.50
38,10.1.0.69,10.1.0.201,508,491,17,96.65,2.18,103.49,43.93
39,10.1.0.193,10.1.0.17,12,4,8,33.33,0.02,757.00,663.67
40,10.1.0.193,10.1.0.201,142,45,97,31.69,0.22,261.84,87.95
41,10.1.0.101,10.1.0.105,63,48,15,76.19,0.23,161.08,53.38
42,10.1.0.101,10.1.0.77,62,43,19,69.35,0.17,203.49,112.40
43,10.1.0.75,10.1.0.140,23,13,10,56.52,0.06,90.54,72.58
44,10.1.0.75,10.1.0.77,29,25,4,86.21,0.12,211.44,94.38
45,10.1.0.77,10.1.0.195,32,28,4,87.50,0.12,144.64,135.59
46,10.1.0.185,10.1.0.201,1121,29,985,2.59,4.28,30.76,28.54
47,10.1.0.31,10.1.0.191,369,366,3,99.19,5.27,5.55,7.82
48,10.1.0.191,10.1.0.31,365,365,0,100.00,1.21,16.39,14.03
49,10.1.0.190,10.1.0.201,1618,75,1390,4.64,3.31,90.08,27.51
50,10.1.0.70,10.1.0.181,94,94,0,100.00,0.82,3.40,5.02
51,10.1.0.181,10.1.0.70,93,93,0,100.00,0.31,6.43,10.28
52,10.1.0.18,10.1.0.187,369,353,16,95.66,5.09,64.12,54.52
53,10.1.0.187,10.1.0.18,352,338,14,96.02,1.12,49.05,37.20
54,10.1.0.77,10.1.0.138,52,33,19,63.46,0.16,320.09,206.06
55,10.1.0.77,10.1.0.101,69,57,12,82.61,0.23,181.93,107.52
56,10.1.0.75,10.1.0.138,11,3,8,27.27,0.04,209.67,154.00
57,10.1.0.195,10.1.0.92,48,42,6,87.50,0.19,306.17,131.15
58,10.1.0.195,10.1.0.77,52,22,30,42.31,0.09,204.95,82.81
59,10.1.0.138,10.1.0.200,56,41,15,73.21,0.19,239.07,134.68
60,10.1.0.101,10.1.0.158,8,3,5,37.50,0.02,193.33,312.50
61,10.1.0.158,10.1.0.138,12,12,0,100.00,0.06,206.08,200.27
62,10.1.0.3,10.1.0.199,369,353,16,95.66,5.09,6.32,8.55
63,10.1.0.199,10.1.0.3,352,344,8,97.73,1.14,46.45,34.76
64,10.1.0.61,10.1.0.182,94,92,2,97.87,0.81,30.35,30.03
65,10.1.0.182,10.1.0.61,91,90,1,98.90,0.30,27.10,34.36
66,10.1.0.92,10.1.0.138,41,35,6,85.37,0.15,183.97,122.18
67,10.1.0.181,10.1.0.201,669,36,574,5.38,5.27,27.75,12.23
68,10.1.0.137,10.1.0.197,21,21,0,100.00,0.12,0.81,0.55
69,10.1.0.197,10.1.0.137,1,1,0,100.00,37.47,8.00,0.00
70,10.1.0.116,10.1.0.199,95,94,1,98.95,0.83,2.35,3.38
71,10.1.0.199,10.1.0.116,93,92,1,98.92,0.31,69.25,67.76
72,10.1.0.64,10.1.0.190,94,83,11,88.30,0.73,40.52,38.01
73,10.1.0.190,10.1.0.64,82,76,6,92.68,0.25,6.42,11.53
74,10.1.0.199,10.1.0.201,2079,102,1778,4.91,11.59,136.50,30.26
75,10.1.0.138,10.1.0.199,19,7,12,36.84,0.13,221.29,156.33
76,10.1.0.138,10.1.0.75,25,14,11,56.00,0.16,315.93,492.15
77,10.1.0.158,10.1.0.199,14,7,7,50.00,0.10,301.57,322.33
78,10.1.0.158,10.1.0.101,34,10,24,29.41,0.04,596.00,706.22
79,10.1.0.110,10.1.0.189,93,72,21,77.42,0.63,31.44,24.76
80,10.1.0.114,10.1.0.195,93,90,3,96.77,0.79,50.38,55.31
81,10.1.0.195,10.1.0.114,89,84,5,94.38,0.28,95.58,52.49
82,10.1.0.189,10.1.0.110,71,68,3,95.77,0.23,18.50,30.12
83,10.1.0.163,10.1.0.121,17,9,8,52.94,0.09,246.22,218.62
84,10.1.0.163,10.1.0.201,130,37,93,28.46,0.19,47.00,48.31
85,10.1.0.121,10.1.0.163,65,42,23,64.62,0.20,76.45,40.98
86,10.1.0.121,10.1.0.191,81,67,14,82.72,0.67,195.42,87.61
87,10.1.0.176,10.1.0.189,21,17,4,80.95,0.10,26.47,52.44
88,10.1.0.189,10.1.0.176,1,1,0,100.00,75.37,4.00,0.00
89,10.1.0.188,10.1.0.65,41,32,9,78.05,0.16,288.12,119.84
90,10.1.0.188,10.1.0.201,150,62,88,41.33,0.30,120.92,64.54
91,10.1.0.171,10.1.0.193,21,20,1,95.24,0.12,52.95,108.89
92,10.1.0.65,10.1.0.188,122,121,1,99.18,0.52,62.23,48.65
93,10.1.0.65,10.1.0.35,8,6,2,75.00,0.12,126.33,278.20
94,10.1.0.35,10.1.0.184,44,38,6,86.36,0.15,122.97,58.16
95,10.1.0.193,10.1.0.171,1,1,0,100.00,27.96,10.00,0.00
96,10.1.0.187,10.1.0.201,1597,1042,555,65.25,13.78,9.68,6.68
97,10.1.0.184,10.1.0.120,58,55,3,94.83,0.27,83.38,72.76
98,10.1.0.184,10.1.0.35,87,60,27,68.97,0.26,158.52,101.69
99,10.1.0.35,10.1.0.120,9,4,5,44.44,0.05,422.00,460.67
100,10.1.0.35,10.1.0.65,30,21,9,70.00,0.10,59.14,41.10
101,10.1.0.120,10.1.0.185,26,20,6,76.92,0.10,240.85,161.00
102,10.1.0.91,10.1.0.52,17,7,10,41.18,0.03,218.57,147.67
103,10.1.0.65,10.1.0.59,50,38,12,76.00,0.18,140.39,111.59
104,10.1.0.195,10.1.0.177,16,9,7,56.25,0.04,263.67,222.50
105,10.1.0.120,10.1.0.38,46,41,5,89.13,0.19,139.68,128.10
106,10.1.0.120,10.1.0.184,70,63,7,90.00,0.29,178.60,60.58
107,10.1.0.92,10.1.0.172,19,17,2,89.47,0.09,61.82,57.56
108,10.1.0.92,10.1.0.195,143,137,6,95.80,0.64,43.91,33.62
109,10.1.0.177,10.1.0.190,218,204,14,93.58,0.82,80.85,46.11
110,10.1.0.184,10.1.0.15,19,13,6,68.42,0.06,128.69,94.25
111,10.1.0.35,10.1.0.2,24,15,9,62.50,0.07,125.93,140.29
112,10.1.0.182,10.1.0.201,1360,19,1198,1.40,2.68,38.89,38.06
113,10.1.0.172,10.1.0.177,17,11,6,64.71,0.04,58.09,97.50
114,10.1.0.15,10.1.0.170,81,79,2,97.53,0.36,85.04,61.40
115,10.1.0.59,10.1.0.120,58,52,6,89.66,0.57,199.52,126.47
116,10.1.0.170,10.1.0.190,83,19,64,22.89,0.09,146.84,141.83
117,10.1.0.2,10.1.0.38,34,30,4,88.24,0.15,84.67,72.76
118,10.1.0.38,10.1.0.190,159,141,18,88.68,0.63,102.72,50.82
119,10.1.0.52,10.1.0.91,45,11,34,24.44,0.04,228.18,236.60
120,10.1.0.52,10.1.0.38,6,5,1,83.33,0.02,82.20,183.75
