FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.54,10.1.0.181,374,374,0,100.00,5.33,0.41,0.03
2,10.1.0.181,10.1.0.54,373,373,0,100.00,1.22,0.52,0.01
3,10.1.0.107,10.1.0.184,95,95,0,100.00,0.82,0.42,0.09
4,10.1.0.184,10.1.0.107,94,94,0,100.00,0.31,0.56,0.05
5,10.1.0.26,10.1.0.182,373,373,0,100.00,5.33,0.43,0.06
6,10.1.0.182,10.1.0.26,372,372,0,100.00,1.22,0.53,0.02
7,10.1.0.178,10.1.0.185,21,21,0,100.00,0.12,0.76,0.45
8,10.1.0.185,10.1.0.178,1,1,0,100.00,39.31,7.00,0.00
9,10.1.0.141,10.1.0.195,21,21,0,100.00,0.12,1.24,1.15
10,10.1.0.195,10.1.0.141,1,1,0,100.00,66.77,4.00,0.00
11,10.1.0.154,10.1.0.188,21,21,0,100.00,0.12,4.52,2.80
12,10.1.0.188,10.1.0.154,1,1,0,100.00,30.12,10.00,0.00
13,10.1.0.128,10.1.0.194,22,22,0,100.00,0.13,1.05,1.05
14,10.1.0.194,10.1.0.128,2,2,0,100.00,0.11,4.50,8.00
15,10.1.0.38,10.1.0.191,369,369,0,100.00,5.29,1.02,0.33
16,10.1.0.191,10.1.0.38,368,368,0,100.00,1.22,0.83,0.27
17,10.1.0.92,10.1.0.183,94,94,0,100.00,0.82,0.43,0.09
18,10.1.0.183,10.1.0.92,93,93,0,100.00,0.31,0.56,0.05
19,10.1.0.139,10.1.0.184,21,21,0,100.00,0.12,1.43,1.15
20,10.1.0.184,10.1.0.139,1,1,0,100.00,30.48,9.00,0.00
21,10.1.0.162,10.1.0.181,21,21,0,100.00,0.12,1.29,1.00
22,10.1.0.181,10.1.0.162,1,1,0,100.00,96.42,3.00,0.00
23,10.1.0.55,10.1.0.189,371,371,0,100.00,5.33,0.48,0.10
24,10.1.0.189,10.1.0.55,370,370,0,100.00,1.22,0.53,0.02
