FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.54,10.1.0.181,372,372,0,100.00,5.26,0.41,0.02
2,10.1.0.181,10.1.0.54,1,1,0,100.00,60.24,4.00,0.00
3,10.1.0.107,10.1.0.184,95,95,0,100.00,0.82,0.47,0.13
4,10.1.0.184,10.1.0.107,1,1,0,100.00,49.39,5.00,0.00
5,10.1.0.26,10.1.0.182,371,371,0,100.00,5.27,0.42,0.04
6,10.1.0.182,10.1.0.26,1,1,0,100.00,38.38,7.00,0.00
7,10.1.0.178,10.1.0.185,21,21,0,100.00,0.12,0.62,0.35
8,10.1.0.185,10.1.0.178,1,1,0,100.00,38.28,7.00,0.00
9,10.1.0.141,10.1.0.195,21,21,0,100.00,0.12,0.76,0.45
10,10.1.0.195,10.1.0.141,1,1,0,100.00,65.01,4.00,0.00
11,10.1.0.154,10.1.0.188,21,21,0,100.00,0.12,2.00,1.75
12,10.1.0.188,10.1.0.154,1,1,0,100.00,29.33,10.00,0.00
13,10.1.0.128,10.1.0.194,21,21,0,100.00,0.12,3.14,4.40
14,10.1.0.194,10.1.0.128,1,1,0,100.00,33.59,8.00,0.00
15,10.1.0.38,10.1.0.191,369,368,0,99.73,5.25,0.66,0.50
16,10.1.0.191,10.1.0.38,1,1,0,100.00,82.38,3.00,0.00
17,10.1.0.92,10.1.0.183,94,94,0,100.00,0.81,0.50,0.15
18,10.1.0.183,10.1.0.92,1,1,0,100.00,51.64,5.00,0.00
19,10.1.0.139,10.1.0.184,21,21,0,100.00,0.12,0.57,0.25
20,10.1.0.184,10.1.0.139,1,1,0,100.00,30.04,9.00,0.00
21,10.1.0.162,10.1.0.181,21,21,0,100.00,0.12,1.00,0.70
22,10.1.0.181,10.1.0.162,1,1,0,100.00,93.88,3.00,0.00
23,10.1.0.55,10.1.0.189,369,369,0,100.00,5.27,1.05,1.26
24,10.1.0.189,10.1.0.55,1,1,0,100.00,32.27,9.00,0.00
25,10.1.0.148,10.1.0.185,21,21,0,100.00,0.12,1.05,0.75
26,10.1.0.185,10.1.0.148,1,1,0,100.00,34.05,8.00,0.00
27,10.1.0.99,10.1.0.196,94,94,0,100.00,0.82,0.39,0.04
28,10.1.0.196,10.1.0.99,1,1,0,100.00,74.13,3.00,0.00
29,10.1.0.106,10.1.0.192,94,94,0,100.00,0.82,1.69,2.60
30,10.1.0.192,10.1.0.106,1,1,0,100.00,103.04,2.00,0.00
31,10.1.0.17,10.1.0.193,367,367,0,100.00,5.27,0.72,0.57
32,10.1.0.193,10.1.0.17,1,1,0,100.00,27.27,10.00,0.00
33,10.1.0.84,10.1.0.184,93,93,0,100.00,0.81,0.48,0.14
34,10.1.0.184,10.1.0.84,1,1,0,100.00,51.99,5.00,0.00
35,10.1.0.103,10.1.0.188,93,93,0,100.00,0.81,0.86,0.79
36,10.1.0.188,10.1.0.103,1,1,0,100.00,109.91,2.00,0.00
37,10.1.0.110,10.1.0.196,93,93,0,100.00,0.81,12.47,24.25
38,10.1.0.196,10.1.0.110,1,1,0,100.00,79.72,3.00,0.00
39,10.1.0.16,10.1.0.183,366,366,0,100.00,5.26,0.46,0.07
40,10.1.0.183,10.1.0.16,1,1,0,100.00,107.52,2.00,0.00
41,10.1.0.23,10.1.0.194,366,366,0,100.00,5.27,0.54,0.26
42,10.1.0.194,10.1.0.23,1,1,0,100.00,30.92,9.00,0.00
43,10.1.0.123,10.1.0.185,21,21,0,100.00,0.12,0.90,0.60
44,10.1.0.185,10.1.0.123,1,1,0,100.00,77.22,3.00,0.00
45,10.1.0.164,10.1.0.190,21,21,0,100.00,0.12,0.71,0.60
46,10.1.0.190,10.1.0.164,1,1,0,100.00,65.02,4.00,0.00
47,10.1.0.102,10.1.0.187,93,93,0,100.00,0.81,0.45,0.11
48,10.1.0.121,10.1.0.190,21,21,0,100.00,0.12,0.95,0.65
49,10.1.0.190,10.1.0.121,1,1,0,100.00,44.49,6.00,0.00
50,10.1.0.187,10.1.0.102,1,1,0,100.00,30.54,9.00,0.00
51,10.1.0.168,10.1.0.185,21,21,0,100.00,0.12,1.48,1.20
52,10.1.0.185,10.1.0.168,1,1,0,100.00,65.01,4.00,0.00
53,10.1.0.51,10.1.0.193,364,362,2,99.45,5.24,3.96,7.04
54,10.1.0.193,10.1.0.51,1,1,0,100.00,76.42,3.00,0.00
55,10.1.0.79,10.1.0.187,93,93,0,100.00,0.82,0.74,0.53
56,10.1.0.187,10.1.0.79,1,1,0,100.00,33.74,8.00,0.00
57,10.1.0.75,10.1.0.182,93,93,0,100.00,0.82,0.74,0.42
58,10.1.0.182,10.1.0.75,1,1,0,100.00,37.50,7.00,0.00
59,10.1.0.127,10.1.0.199,21,21,0,100.00,0.12,1.14,0.85
60,10.1.0.199,10.1.0.127,1,1,0,100.00,135.39,2.00,0.00
61,10.1.0.136,10.1.0.195,21,21,0,100.00,0.12,1.05,0.55
62,10.1.0.195,10.1.0.136,1,1,0,100.00,61.76,4.00,0.00
63,10.1.0.87,10.1.0.196,92,92,0,100.00,0.81,0.90,1.08
64,10.1.0.196,10.1.0.87,1,1,0,100.00,49.06,6.00,0.00
65,10.1.0.155,10.1.0.188,20,20,0,100.00,0.12,1.15,0.89
66,10.1.0.188,10.1.0.155,1,1,0,100.00,43.20,6.00,0.00
67,10.1.0.173,10.1.0.192,20,20,0,100.00,0.12,0.95,0.63
68,10.1.0.192,10.1.0.173,1,1,0,100.00,36.31,8.00,0.00
69,10.1.0.32,10.1.0.191,361,361,0,100.00,5.26,0.50,0.18
70,10.1.0.191,10.1.0.32,1,1,0,100.00,22.88,12.00,0.00
71,10.1.0.77,10.1.0.191,92,92,0,100.00,0.81,0.64,0.31
72,10.1.0.191,10.1.0.77,1,1,0,100.00,61.25,4.00,0.00
73,10.1.0.2,10.1.0.187,361,361,0,100.00,5.27,0.40,0.01
74,10.1.0.187,10.1.0.2,1,1,0,100.00,61.51,4.00,0.00
75,10.1.0.30,10.1.0.193,361,361,0,100.00,5.27,0.61,0.36
76,10.1.0.193,10.1.0.30,1,1,0,100.00,123.01,2.00,0.00
77,10.1.0.91,10.1.0.194,92,92,0,100.00,0.81,10.21,19.48
78,10.1.0.194,10.1.0.91,1,1,0,100.00,0.30,1002.00,0.00
79,10.1.0.109,10.1.0.182,92,92,0,100.00,0.82,0.77,0.43
80,10.1.0.182,10.1.0.109,1,1,0,100.00,43.70,6.00,0.00
81,10.1.0.19,10.1.0.194,359,359,0,100.00,5.26,0.59,0.35
82,10.1.0.194,10.1.0.19,1,1,0,100.00,30.17,9.00,0.00
83,10.1.0.156,10.1.0.192,20,20,0,100.00,0.12,2.75,3.95
84,10.1.0.192,10.1.0.156,1,1,0,100.00,32.91,8.00,0.00
85,10.1.0.86,10.1.0.198,91,91,0,100.00,0.81,0.49,0.20
86,10.1.0.198,10.1.0.86,1,1,0,100.00,45.03,6.00,0.00
87,10.1.0.3,10.1.0.181,358,358,0,100.00,5.26,0.42,0.05
88,10.1.0.181,10.1.0.3,1,1,0,100.00,113.30,2.00,0.00
89,10.1.0.165,10.1.0.195,20,20,0,100.00,0.12,1.65,2.32
90,10.1.0.195,10.1.0.165,1,1,0,100.00,50.40,5.00,0.00
91,10.1.0.67,10.1.0.184,91,91,0,100.00,0.81,0.68,0.46
92,10.1.0.184,10.1.0.67,1,1,0,100.00,30.66,9.00,0.00
93,10.1.0.35,10.1.0.200,357,357,0,100.00,5.26,0.40,0.01
94,10.1.0.200,10.1.0.35,1,1,0,100.00,33.06,8.00,0.00
95,10.1.0.10,10.1.0.181,357,357,0,100.00,5.27,0.43,0.04
96,10.1.0.181,10.1.0.10,1,1,0,100.00,34.29,8.00,0.00
97,10.1.0.151,10.1.0.182,20,20,0,100.00,0.12,0.80,0.47
98,10.1.0.182,10.1.0.151,1,1,0,100.00,53.11,5.00,0.00
99,10.1.0.113,10.1.0.191,91,91,0,100.00,0.82,0.55,0.31
100,10.1.0.191,10.1.0.113,1,1,0,100.00,38.58,7.00,0.00
101,10.1.0.169,10.1.0.195,20,20,0,100.00,0.12,1.15,0.84
102,10.1.0.195,10.1.0.169,1,1,0,100.00,117.17,2.00,0.00
103,10.1.0.11,10.1.0.187,355,355,0,100.00,5.26,0.41,0.03
104,10.1.0.187,10.1.0.11,1,1,0,100.00,29.92,9.00,0.00
105,10.1.0.69,10.1.0.181,90,90,0,100.00,0.81,0.42,0.09
106,10.1.0.181,10.1.0.69,1,1,0,100.00,43.57,6.00,0.00
107,10.1.0.21,10.1.0.196,354,354,0,100.00,5.27,0.45,0.11
108,10.1.0.196,10.1.0.21,1,1,0,100.00,26.98,10.00,0.00
109,10.1.0.18,10.1.0.200,353,353,0,100.00,5.26,0.42,0.04
110,10.1.0.200,10.1.0.18,1,1,0,100.00,26.83,11.00,0.00
111,10.1.0.37,10.1.0.183,353,353,0,100.00,5.27,0.73,0.62
112,10.1.0.183,10.1.0.37,1,1,0,100.00,26.73,11.00,0.00
113,10.1.0.53,10.1.0.186,352,352,0,100.00,5.27,0.40,0.02
114,10.1.0.186,10.1.0.53,1,1,0,100.00,114.15,2.00,0.00
115,10.1.0.47,10.1.0.194,352,352,0,100.00,5.27,1.58,1.72
116,10.1.0.194,10.1.0.47,1,1,0,100.00,73.03,4.00,0.00
117,10.1.0.65,10.1.0.193,90,90,0,100.00,0.82,0.42,0.09
118,10.1.0.193,10.1.0.65,1,1,0,100.00,52.36,5.00,0.00
119,10.1.0.76,10.1.0.183,89,89,0,100.00,0.81,0.54,0.20
120,10.1.0.183,10.1.0.76,1,1,0,100.00,107.53,2.00,0.00
121,10.1.0.145,10.1.0.183,20,20,0,100.00,0.12,1.45,1.16
122,10.1.0.183,10.1.0.145,1,1,0,100.00,33.43,8.00,0.00
123,10.1.0.64,10.1.0.193,89,89,0,100.00,0.81,0.47,0.18
124,10.1.0.193,10.1.0.64,1,1,0,100.00,26.68,11.00,0.00
125,10.1.0.14,10.1.0.193,350,350,0,100.00,5.26,0.53,0.21
126,10.1.0.193,10.1.0.14,1,1,0,100.00,63.07,4.00,0.00
127,10.1.0.60,10.1.0.182,350,350,0,100.00,5.27,0.66,0.46
128,10.1.0.182,10.1.0.60,1,1,0,100.00,36.85,8.00,0.00
129,10.1.0.124,10.1.0.181,20,20,0,100.00,0.12,1.05,0.74
130,10.1.0.181,10.1.0.124,1,1,0,100.00,104.48,2.00,0.00
131,10.1.0.143,10.1.0.200,20,20,0,100.00,0.12,0.50,0.21
132,10.1.0.200,10.1.0.143,1,1,0,100.00,27.13,10.00,0.00
133,10.1.0.97,10.1.0.185,89,89,0,100.00,0.81,0.49,0.15
134,10.1.0.185,10.1.0.97,1,1,0,100.00,44.63,6.00,0.00
