FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.44,10.1.0.195,374,271,94,72.46,3.89,212.62,178.14
2,10.1.0.195,10.1.0.44,271,171,89,63.10,0.56,371.67,147.49
3,10.1.0.117,10.1.0.200,377,273,86,72.41,3.89,226.80,187.10
4,10.1.0.200,10.1.0.117,273,138,126,50.55,0.45,242.92,204.82
5,10.1.0.130,10.1.0.200,372,325,43,87.37,4.62,93.70,121.73
6,10.1.0.200,10.1.0.130,324,281,43,86.73,0.91,214.63,124.55
7,10.1.0.82,10.1.0.191,374,306,60,81.82,4.33,213.07,164.16
8,10.1.0.195,10.1.0.201,1942,43,1769,2.21,1.50,83.19,68.10
9,10.1.0.5,10.1.0.195,371,276,79,74.39,4.00,224.54,168.28
10,10.1.0.191,10.1.0.82,305,281,24,92.13,0.91,185.92,105.44
11,10.1.0.195,10.1.0.5,276,181,87,65.58,0.61,337.04,140.37
12,10.1.0.166,10.1.0.184,21,20,1,95.24,0.12,33.05,58.11
13,10.1.0.184,10.1.0.166,1,1,0,100.00,76.14,3.00,0.00
14,10.1.0.62,10.1.0.185,371,361,8,97.30,5.17,26.28,32.19
15,10.1.0.200,10.1.0.201,1600,16,1498,1.00,3.85,112.69,47.47
16,10.1.0.185,10.1.0.62,360,354,6,98.33,1.17,48.64,48.69
17,10.1.0.94,10.1.0.190,371,344,24,92.72,4.93,115.72,103.34
18,10.1.0.190,10.1.0.94,343,314,27,91.55,1.03,190.66,100.25
19,10.1.0.36,10.1.0.181,371,370,1,99.73,5.31,7.34,11.93
20,10.1.0.181,10.1.0.36,369,361,8,97.83,1.19,139.30,86.35
21,10.1.0.191,10.1.0.201,1370,29,1299,2.12,5.61,76.86,56.18
22,10.1.0.79,10.1.0.199,368,346,22,94.02,4.97,62.88,73.77
23,10.1.0.184,10.1.0.201,2192,16,2069,0.73,3.79,168.56,213.27
24,10.1.0.199,10.1.0.79,345,299,41,86.67,0.99,271.97,134.26
25,10.1.0.6,10.1.0.75,40,3,30,7.50,0.01,892.33,1233.50
26,10.1.0.6,10.1.0.201,104,8,91,7.69,0.03,200.88,212.71
27,10.1.0.87,10.1.0.75,25,1,18,4.00,0.06,37.00,0.00
28,10.1.0.87,10.1.0.201,84,5,76,5.95,0.99,234.60,274.50
29,10.1.0.140,10.1.0.75,11,1,9,9.09,14.21,27.00,0.00
30,10.1.0.140,10.1.0.201,168,14,142,8.33,0.06,242.57,128.85
31,10.1.0.91,10.1.0.101,96,34,57,35.42,0.14,349.91,128.03
32,10.1.0.91,10.1.0.201,83,14,69,16.87,0.08,257.36,135.15
33,10.1.0.105,10.1.0.101,76,13,56,17.11,0.06,480.08,362.33
34,10.1.0.105,10.1.0.201,416,197,199,47.36,0.79,259.96,104.27
35,10.1.0.155,10.1.0.101,15,0,15,0.00,0.00,0.00,0.00
36,10.1.0.155,10.1.0.201,862,773,73,89.68,3.07,147.09,55.43
37,10.1.0.69,10.1.0.101,10,3,6,30.00,0.34,1212.67,1537.50
38,10.1.0.69,10.1.0.201,501,374,106,74.65,1.51,300.60,74.64
39,10.1.0.193,10.1.0.17,5,1,3,20.00,0.13,3011.00,0.00
40,10.1.0.193,10.1.0.201,245,58,165,23.67,0.23,156.26,44.37
41,10.1.0.101,10.1.0.105,156,59,71,37.82,0.24,263.27,153.59
42,10.1.0.101,10.1.0.77,127,85,37,66.93,0.33,269.52,199.00
43,10.1.0.75,10.1.0.140,26,3,19,11.54,2.48,15.33,20.50
44,10.1.0.75,10.1.0.77,57,42,14,73.68,0.17,223.76,144.44
45,10.1.0.77,10.1.0.195,54,29,25,53.70,0.15,170.86,102.57
46,10.1.0.185,10.1.0.201,1644,13,1580,0.79,3.56,1157.77,824.75
47,10.1.0.31,10.1.0.191,369,339,28,91.87,4.88,60.71,73.42
