FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.44,10.1.0.195,21,21,0,100.00,0.12,18.05,30.50
2,10.1.0.195,10.1.0.44,1,1,0,100.00,66.77,4.00,0.00
3,10.1.0.117,10.1.0.200,22,22,0,100.00,0.13,94.32,166.33
4,10.1.0.200,10.1.0.117,2,2,0,100.00,0.11,9.00,8.00
5,10.1.0.130,10.1.0.200,21,21,0,100.00,0.12,4.57,7.55
6,10.1.0.200,10.1.0.130,1,1,0,100.00,31.62,9.00,0.00
7,10.1.0.82,10.1.0.191,21,21,0,100.00,0.12,13.10,26.00
8,10.1.0.195,10.1.0.201,734,629,105,85.69,6.97,19.31,13.87
9,10.1.0.5,10.1.0.195,371,368,3,99.19,5.26,19.20,23.95
10,10.1.0.191,10.1.0.82,1,1,0,100.00,40.04,7.00,0.00
11,10.1.0.195,10.1.0.5,367,362,5,98.64,1.19,23.82,19.08
12,10.1.0.166,10.1.0.184,21,21,0,100.00,0.12,0.71,0.45
13,10.1.0.184,10.1.0.166,1,1,0,100.00,76.14,3.00,0.00
14,10.1.0.62,10.1.0.185,21,21,0,100.00,0.12,6.05,11.70
15,10.1.0.200,10.1.0.201,530,440,90,83.02,5.17,6.21,3.08
16,10.1.0.185,10.1.0.62,1,1,0,100.00,111.23,2.00,0.00
17,10.1.0.94,10.1.0.190,21,21,0,100.00,0.12,2.48,4.20
18,10.1.0.190,10.1.0.94,1,1,0,100.00,35.55,8.00,0.00
19,10.1.0.36,10.1.0.181,95,95,0,100.00,0.83,0.55,0.30
20,10.1.0.181,10.1.0.36,94,94,0,100.00,0.31,1.19,1.28
21,10.1.0.191,10.1.0.201,165,5,145,3.03,0.49,151.00,184.75
22,10.1.0.79,10.1.0.199,21,21,0,100.00,0.12,4.52,8.10
23,10.1.0.184,10.1.0.201,850,9,763,1.06,1.23,160.11,146.25
24,10.1.0.199,10.1.0.79,1,1,0,100.00,30.89,9.00,0.00
25,10.1.0.6,10.1.0.75,20,10,10,50.00,0.14,300.90,341.22
26,10.1.0.6,10.1.0.201,32,16,16,50.00,0.07,148.44,117.07
27,10.1.0.87,10.1.0.75,20,4,16,20.00,0.02,527.25,674.00
28,10.1.0.87,10.1.0.201,15,7,8,46.67,0.04,235.29,328.50
29,10.1.0.140,10.1.0.75,6,4,2,66.67,0.02,47.50,42.00
30,10.1.0.140,10.1.0.201,381,0,381,0.00,0.00,0.00,0.00
31,10.1.0.91,10.1.0.101,35,30,5,85.71,0.19,411.87,177.79
32,10.1.0.91,10.1.0.201,37,15,22,40.54,0.10,100.33,85.79
33,10.1.0.105,10.1.0.101,19,11,8,57.89,0.15,34.09,32.30
34,10.1.0.105,10.1.0.201,154,146,8,94.81,0.64,66.48,27.02
35,10.1.0.155,10.1.0.101,13,4,9,30.77,0.07,828.25,1163.67
36,10.1.0.155,10.1.0.201,222,218,4,98.20,1.45,52.13,27.10
37,10.1.0.69,10.1.0.101,21,0,21,0.00,0.00,0.00,0.00
38,10.1.0.69,10.1.0.201,184,183,1,99.46,0.78,48.55,26.86
39,10.1.0.193,10.1.0.17,13,3,10,23.08,0.13,718.67,973.50
40,10.1.0.193,10.1.0.201,87,66,21,75.86,0.28,75.00,39.69
41,10.1.0.101,10.1.0.105,105,94,11,89.52,0.40,67.09,48.72
42,10.1.0.101,10.1.0.77,27,17,10,62.96,0.09,110.53,145.06
43,10.1.0.75,10.1.0.140,35,13,22,37.14,0.19,98.46,91.08
44,10.1.0.75,10.1.0.77,20,20,0,100.00,0.11,49.35,65.95
45,10.1.0.77,10.1.0.195,30,26,4,86.67,0.14,67.69,47.04
46,10.1.0.185,10.1.0.201,533,1,480,0.19,0.57,975.00,0.00
47,10.1.0.31,10.1.0.191,94,93,1,98.94,0.82,1.10,1.45
48,10.1.0.191,10.1.0.31,92,92,0,100.00,0.31,0.58,0.11
49,10.1.0.190,10.1.0.201,602,11,536,1.83,0.53,222.73,239.90
50,10.1.0.70,10.1.0.181,21,21,0,100.00,0.12,1.19,1.35
51,10.1.0.181,10.1.0.70,1,1,0,100.00,62.64,4.00,0.00
52,10.1.0.18,10.1.0.187,369,365,4,98.92,5.26,10.31,11.16
53,10.1.0.187,10.1.0.18,364,361,3,99.18,1.20,14.71,10.89
54,10.1.0.77,10.1.0.138,10,8,2,80.00,0.05,178.88,126.86
55,10.1.0.77,10.1.0.101,38,34,4,89.47,0.17,23.71,34.52
56,10.1.0.75,10.1.0.138,7,6,1,85.71,0.03,39.00,45.40
57,10.1.0.195,10.1.0.92,10,10,0,100.00,0.04,114.70,124.44
58,10.1.0.195,10.1.0.77,35,26,9,74.29,0.18,35.42,35.60
59,10.1.0.101,10.1.0.23,23,8,15,34.78,0.04,64.38,32.00
60,10.1.0.92,10.1.0.138,31,29,2,93.55,0.13,115.69,129.93
61,10.1.0.138,10.1.0.200,9,9,0,100.00,0.19,69.67,67.50
62,10.1.0.3,10.1.0.199,369,367,2,99.46,5.29,3.26,5.17
63,10.1.0.23,10.1.0.138,13,11,2,84.62,0.20,244.55,185.00
64,10.1.0.199,10.1.0.3,366,365,1,99.73,1.21,19.11,18.64
65,10.1.0.61,10.1.0.182,21,21,0,100.00,0.12,1.14,1.20
66,10.1.0.182,10.1.0.61,1,1,0,100.00,54.16,5.00,0.00
67,10.1.0.181,10.1.0.201,182,0,165,0.00,0.00,0.00,0.00
68,10.1.0.137,10.1.0.197,21,21,0,100.00,0.12,0.76,0.45
69,10.1.0.197,10.1.0.137,1,1,0,100.00,37.47,8.00,0.00
70,10.1.0.116,10.1.0.199,21,21,0,100.00,0.12,3.43,5.05
71,10.1.0.199,10.1.0.116,1,1,0,100.00,34.42,8.00,0.00
72,10.1.0.64,10.1.0.190,21,20,1,95.24,0.12,11.40,17.26
73,10.1.0.190,10.1.0.64,1,1,0,100.00,99.57,3.00,0.00
74,10.1.0.199,10.1.0.201,1226,5,1109,0.41,1.94,134.60,154.75
75,10.1.0.138,10.1.0.199,38,15,23,39.47,0.29,388.33,207.64
76,10.1.0.138,10.1.0.75,18,8,10,44.44,0.13,52.62,58.14
77,10.1.0.110,10.1.0.189,21,18,3,85.71,0.10,8.89,13.06
78,10.1.0.114,10.1.0.195,21,21,0,100.00,0.12,23.71,28.95
79,10.1.0.195,10.1.0.114,1,1,0,100.00,38.91,7.00,0.00
80,10.1.0.189,10.1.0.110,1,1,0,100.00,49.89,6.00,0.00
81,10.1.0.163,10.1.0.121,17,13,4,76.47,0.07,167.62,190.67
82,10.1.0.163,10.1.0.201,40,23,17,57.50,0.12,85.17,81.32
83,10.1.0.121,10.1.0.163,85,41,44,48.24,0.17,49.68,23.38
84,10.1.0.121,10.1.0.191,14,12,2,85.71,0.09,2.50,2.73
85,10.1.0.176,10.1.0.189,21,20,1,95.24,0.12,14.15,16.84
86,10.1.0.189,10.1.0.176,1,1,0,100.00,75.37,4.00,0.00
87,10.1.0.188,10.1.0.65,23,23,0,100.00,0.44,159.04,92.32
88,10.1.0.188,10.1.0.201,147,96,51,65.31,0.43,87.29,37.43
89,10.1.0.171,10.1.0.193,21,21,0,100.00,0.12,1.29,1.20
90,10.1.0.65,10.1.0.188,169,147,22,86.98,0.87,99.45,31.55
91,10.1.0.65,10.1.0.35,11,8,3,72.73,0.20,231.00,190.57
92,10.1.0.35,10.1.0.184,43,39,4,90.70,0.27,65.49,58.03
93,10.1.0.193,10.1.0.171,1,1,0,100.00,28.54,10.00,0.00
94,10.1.0.187,10.1.0.201,896,11,802,1.23,2.26,129.36,78.80
95,10.1.0.184,10.1.0.120,22,22,0,100.00,0.41,19.50,25.48
96,10.1.0.184,10.1.0.35,55,54,1,98.18,0.23,25.44,25.64
97,10.1.0.35,10.1.0.120,4,3,1,75.00,0.06,346.00,431.50
98,10.1.0.35,10.1.0.65,33,22,11,66.67,0.57,138.00,139.14
99,10.1.0.120,10.1.0.185,21,21,0,100.00,0.39,141.38,98.45
100,10.1.0.91,10.1.0.52,25,8,17,32.00,0.17,192.75,162.00
101,10.1.0.65,10.1.0.59,18,11,7,61.11,0.20,191.27,176.90
102,10.1.0.195,10.1.0.177,16,13,3,81.25,0.25,275.77,146.00
103,10.1.0.120,10.1.0.38,32,28,4,87.50,0.50,76.14,86.44
104,10.1.0.120,10.1.0.184,34,33,1,97.06,0.22,47.52,58.78
105,10.1.0.92,10.1.0.172,15,14,1,93.33,0.26,132.36,107.62
106,10.1.0.92,10.1.0.195,29,29,0,100.00,0.16,70.62,64.43
107,10.1.0.23,10.1.0.172,21,18,3,85.71,0.34,148.22,69.00
108,10.1.0.23,10.1.0.101,24,3,21,12.50,0.38,578.67,717.50
109,10.1.0.184,10.1.0.2,15,15,0,100.00,0.28,35.07,36.36
110,10.1.0.35,10.1.0.2,10,7,3,70.00,0.13,103.71,130.17
