FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.114,10.1.0.210,95,95,0,100.00,0.82,0.45,0.11
2,10.1.0.210,10.1.0.114,94,94,0,100.00,0.31,0.53,0.02
3,10.1.0.172,10.1.0.208,22,22,0,100.00,0.13,1.50,1.29
4,10.1.0.208,10.1.0.172,2,2,0,100.00,0.02,5.00,9.00
5,10.1.0.106,10.1.0.206,95,95,0,100.00,0.83,0.43,0.09
6,10.1.0.206,10.1.0.106,94,94,0,100.00,0.31,0.52,0.01
7,10.1.0.100,10.1.0.209,96,96,0,100.00,0.83,0.46,0.14
8,10.1.0.209,10.1.0.100,95,95,0,100.00,0.31,0.58,0.07
9,10.1.0.130,10.1.0.212,95,95,0,100.00,0.83,0.48,0.14
10,10.1.0.212,10.1.0.130,94,94,0,100.00,0.31,0.60,0.09
11,10.1.0.175,10.1.0.211,21,21,0,100.00,0.12,4.86,5.85
12,10.1.0.211,10.1.0.175,1,1,0,100.00,111.22,2.00,0.00
13,10.1.0.122,10.1.0.204,95,95,0,100.00,0.83,0.60,0.29
14,10.1.0.204,10.1.0.122,94,94,0,100.00,0.31,0.62,0.13
15,10.1.0.183,10.1.0.220,21,21,0,100.00,0.12,1.29,1.00
16,10.1.0.220,10.1.0.183,1,1,0,100.00,38.32,7.00,0.00
17,10.1.0.102,10.1.0.210,94,94,0,100.00,0.82,0.39,0.04
18,10.1.0.210,10.1.0.102,93,93,0,100.00,0.31,0.56,0.05
19,10.1.0.169,10.1.0.210,21,21,0,100.00,0.12,0.71,0.40
20,10.1.0.210,10.1.0.169,1,1,0,100.00,40.14,7.00,0.00
21,10.1.0.87,10.1.0.218,94,94,0,100.00,0.82,0.50,0.16
22,10.1.0.218,10.1.0.87,93,93,0,100.00,0.31,0.53,0.01
23,10.1.0.89,10.1.0.207,94,94,0,100.00,0.82,0.51,0.17
24,10.1.0.207,10.1.0.89,93,93,0,100.00,0.31,0.57,0.07
25,10.1.0.158,10.1.0.216,21,21,0,100.00,0.12,0.76,0.50
26,10.1.0.80,10.1.0.214,95,95,0,100.00,0.83,0.44,0.12
27,10.1.0.216,10.1.0.158,1,1,0,100.00,43.10,7.00,0.00
28,10.1.0.214,10.1.0.80,94,94,0,100.00,0.31,0.59,0.09
29,10.1.0.109,10.1.0.213,94,94,0,100.00,0.82,0.61,0.27
30,10.1.0.213,10.1.0.109,93,93,0,100.00,0.31,0.55,0.04
31,10.1.0.72,10.1.0.203,94,94,0,100.00,0.82,0.83,0.51
32,10.1.0.203,10.1.0.72,93,93,0,100.00,0.31,0.58,0.08
33,10.1.0.99,10.1.0.215,94,94,0,100.00,0.83,0.40,0.05
34,10.1.0.215,10.1.0.99,93,93,0,100.00,0.31,0.55,0.04
35,10.1.0.187,10.1.0.210,21,21,0,100.00,0.12,0.71,0.40
36,10.1.0.210,10.1.0.187,1,1,0,100.00,30.18,10.00,0.00
37,10.1.0.144,10.1.0.216,21,21,0,100.00,0.12,2.10,2.70
38,10.1.0.216,10.1.0.144,1,1,0,100.00,34.89,8.00,0.00
39,10.1.0.32,10.1.0.214,368,368,0,100.00,5.32,0.49,0.12
40,10.1.0.214,10.1.0.32,367,367,0,100.00,1.22,0.53,0.02
41,10.1.0.76,10.1.0.217,93,93,0,100.00,0.82,0.46,0.12
42,10.1.0.12,10.1.0.213,370,370,0,100.00,5.36,0.47,0.10
43,10.1.0.217,10.1.0.76,92,92,0,100.00,0.31,0.61,0.10
44,10.1.0.213,10.1.0.12,369,369,0,100.00,1.23,0.53,0.02
45,10.1.0.5,10.1.0.209,367,367,0,100.00,5.32,0.45,0.06
46,10.1.0.209,10.1.0.5,366,366,0,100.00,1.22,0.54,0.03
47,10.1.0.173,10.1.0.202,22,22,0,100.00,0.13,2.09,1.81
48,10.1.0.8,10.1.0.219,369,369,0,100.00,5.35,0.44,0.09
49,10.1.0.137,10.1.0.214,21,21,0,100.00,0.12,0.48,0.20
