FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.24,10.1.0.55,87,87,0,100.00,4.27,9.74,7.44
2,10.1.0.10,10.1.0.53,87,0,167,0.00,0.00,0.00,0.00
3,10.1.0.11,10.1.0.25,1,1,0,100.00,36.09,10.00,0.00
4,10.1.0.11,10.1.0.55,12,12,0,100.00,0.05,2.75,3.00
5,10.1.0.25,10.1.0.11,1,1,0,100.00,27.50,8.00,0.00
6,10.1.0.25,10.1.0.24,1,1,0,100.00,67.13,5.00,0.00
7,10.1.0.55,10.1.0.56,963,963,0,100.00,47.13,4.91,1.40
8,10.1.0.41,10.1.0.54,86,0,165,0.00,0.00,0.00,0.00
9,10.1.0.32,10.1.0.54,86,86,0,100.00,4.27,0.77,0.11
10,10.1.0.16,10.1.0.39,5,5,0,100.00,0.02,3.40,4.00
11,10.1.0.16,10.1.0.56,5,5,0,100.00,3.03,2.00,2.00
12,10.1.0.39,10.1.0.16,4,4,0,100.00,2.21,1.25,1.33
13,10.1.0.39,10.1.0.13,9,9,0,100.00,0.04,11.33,12.88
14,10.1.0.54,10.1.0.56,631,631,0,100.00,31.08,5.02,1.26
15,10.1.0.13,10.1.0.55,12,12,0,100.00,0.05,4.17,3.09
16,10.1.0.49,10.1.0.51,86,78,8,90.70,3.87,2.01,0.60
17,10.1.0.19,10.1.0.49,1,1,0,100.00,42.32,9.00,0.00
18,10.1.0.19,10.1.0.51,3,3,0,100.00,0.01,4.67,5.50
19,10.1.0.9,10.1.0.49,1,1,0,100.00,34.82,11.00,0.00
20,10.1.0.9,10.1.0.51,2,0,2,0.00,0.00,0.00,0.00
21,10.1.0.31,10.1.0.49,2,0,2,0.00,0.00,0.00,0.00
22,10.1.0.31,10.1.0.51,3,3,0,100.00,0.01,4.00,5.50
23,10.1.0.49,10.1.0.19,1,1,0,100.00,23.61,10.00,0.00
24,10.1.0.49,10.1.0.9,1,1,0,100.00,19.48,12.00,0.00
25,10.1.0.51,10.1.0.56,457,0,835,0.00,0.00,0.00,0.00
26,10.1.0.3,10.1.0.52,86,86,0,100.00,4.27,0.80,0.15
27,10.1.0.52,10.1.0.56,479,0,880,0.00,0.00,0.00,0.00
28,10.1.0.50,10.1.0.52,86,86,0,100.00,4.27,0.69,0.02
29,10.1.0.28,10.1.0.54,86,86,0,100.00,4.27,0.73,0.07
30,10.1.0.22,10.1.0.53,86,86,0,100.00,4.27,0.76,0.09
31,10.1.0.53,10.1.0.56,473,0,853,0.00,0.00,0.00,0.00
32,10.1.0.44,10.1.0.52,86,0,166,0.00,0.00,0.00,0.00
33,10.1.0.39,10.1.0.28,3,3,0,100.00,0.03,3.00,4.00
34,10.1.0.13,10.1.0.28,1,1,0,100.00,0.98,393.00,0.00
