FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.83,10.1.0.162,96,92,3,95.83,0.80,31.42,49.53
2,10.1.0.162,10.1.0.83,91,91,0,100.00,0.30,58.75,82.34
3,10.1.0.162,10.1.0.166,1128,10,1069,0.89,0.12,341.30,195.22
4,10.1.0.10,10.1.0.165,371,323,38,87.06,4.62,45.20,59.19
5,10.1.0.165,10.1.0.10,322,269,50,83.54,0.88,238.74,144.74
6,10.1.0.97,10.1.0.158,94,68,21,72.34,0.60,235.04,199.63
7,10.1.0.57,10.1.0.152,94,90,3,95.74,0.78,24.80,41.57
8,10.1.0.158,10.1.0.97,68,48,18,70.59,0.17,81.08,87.81
9,10.1.0.152,10.1.0.57,89,88,1,98.88,0.29,25.74,38.33
10,10.1.0.53,10.1.0.152,95,93,2,97.89,0.81,13.99,23.47
11,10.1.0.152,10.1.0.53,92,91,1,98.91,0.30,29.27,43.23
12,10.1.0.39,10.1.0.156,371,333,36,89.76,4.77,125.95,110.11
13,10.1.0.156,10.1.0.39,332,308,22,92.77,1.01,139.29,97.50
14,10.1.0.74,10.1.0.162,96,93,3,96.88,0.81,20.86,29.13
15,10.1.0.162,10.1.0.74,92,92,0,100.00,0.31,45.26,65.76
16,10.1.0.24,10.1.0.151,370,369,1,99.73,5.31,24.61,33.30
17,10.1.0.151,10.1.0.24,368,367,0,99.73,1.22,1.66,1.78
18,10.1.0.165,10.1.0.166,1732,19,1608,1.10,0.83,284.05,122.89
19,10.1.0.158,10.1.0.166,984,6,957,0.61,0.89,449.83,328.80
20,10.1.0.152,10.1.0.166,1142,136,970,11.91,1.63,501.71,193.39
21,10.1.0.104,10.1.0.13,118,39,73,33.05,0.16,475.10,179.55
22,10.1.0.104,10.1.0.166,164,46,109,28.05,0.21,117.70,70.62
23,10.1.0.13,10.1.0.104,76,27,46,35.53,0.11,92.67,103.81
24,10.1.0.13,10.1.0.70,86,60,24,69.77,0.24,114.32,103.27
25,10.1.0.70,10.1.0.162,464,430,33,92.67,1.72,139.61,76.23
26,10.1.0.41,10.1.0.159,371,369,2,99.46,5.32,11.83,19.91
27,10.1.0.159,10.1.0.41,368,368,0,100.00,1.22,7.88,11.87
28,10.1.0.156,10.1.0.166,1720,1326,387,77.09,16.22,198.03,55.50
29,10.1.0.130,10.1.0.156,164,157,7,95.73,0.61,113.68,64.29
30,10.1.0.130,10.1.0.166,166,74,89,44.58,0.30,105.16,78.82
31,10.1.0.51,10.1.0.156,124,116,7,93.55,0.46,161.91,113.30
32,10.1.0.51,10.1.0.166,152,32,111,21.05,0.13,201.62,132.87
33,10.1.0.137,10.1.0.156,248,240,8,96.77,0.98,108.29,64.33
34,10.1.0.137,10.1.0.166,2421,2400,21,99.13,9.70,46.87,14.06
35,10.1.0.127,10.1.0.156,62,30,30,48.39,0.12,95.80,103.72
36,10.1.0.127,10.1.0.166,803,786,17,97.88,3.14,40.08,24.22
37,10.1.0.156,10.1.0.130,107,97,10,90.65,0.38,195.06,119.54
38,10.1.0.156,10.1.0.127,50,29,19,58.00,0.11,142.83,108.25
39,10.1.0.156,10.1.0.137,1152,1068,81,92.71,4.27,147.58,40.05
40,10.1.0.156,10.1.0.51,137,129,8,94.16,0.52,109.56,62.81
41,10.1.0.29,10.1.0.156,367,329,28,89.65,4.73,139.47,120.32
42,10.1.0.156,10.1.0.29,328,317,10,96.65,1.05,137.45,92.69
43,10.1.0.140,10.1.0.161,22,22,0,100.00,0.13,75.82,135.95
44,10.1.0.161,10.1.0.140,2,2,0,100.00,0.01,143.50,280.00
45,10.1.0.37,10.1.0.152,366,345,18,94.26,4.98,139.16,88.78
46,10.1.0.151,10.1.0.166,1299,65,1151,5.00,0.90,469.14,117.02
47,10.1.0.152,10.1.0.37,344,341,3,99.13,1.13,26.12,27.11
48,10.1.0.79,10.1.0.156,94,85,8,90.43,0.75,105.67,117.87
49,10.1.0.156,10.1.0.79,84,80,4,95.24,0.27,111.91,122.51
50,10.1.0.159,10.1.0.166,1428,33,1259,2.31,0.97,292.48,167.47
51,10.1.0.70,10.1.0.145,78,35,42,44.87,0.14,179.51,140.12
52,10.1.0.70,10.1.0.13,157,100,54,63.69,0.41,144.90,96.97
53,10.1.0.8,10.1.0.4,75,42,28,56.00,0.17,196.55,143.17
54,10.1.0.8,10.1.0.166,124,26,96,20.97,0.11,152.38,112.72
55,10.1.0.104,10.1.0.114,270,258,12,95.56,1.04,124.59,72.84
56,10.1.0.162,10.1.0.98,222,211,10,95.05,0.85,71.21,53.45
