NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5418,1.4582,72.91
1,ECG,2.0,0.5447,1.4553,72.77
2,ECG,2.0,0.5473,1.4527,72.64
3,ECG,2.0,0.5556,1.4444,72.22
4,ECG,2.0,0.5407,1.4593,72.97
5,ECG,2.0,0.5576,1.4424,72.12
6,ECG,2.0,0.5568,1.4432,72.16
7,ECG,2.0,0.5623,1.4377,71.88
8,ECG,2.0,0.5611,1.4389,71.95
9,ECG,2.0,0.5483,1.4517,72.59
10,ECG,2.0,0.5531,1.4469,72.34
11,ECG,2.0,0.5441,1.4559,72.79
12,ECG,2.0,0.5492,1.4508,72.54
13,ECG,2.0,0.5589,1.4411,72.06
14,ECG,2.0,0.5550,1.4450,72.25
15,ECG,2.0,0.5565,1.4435,72.17
16,ECG,2.0,0.5580,1.4420,72.10
17,ECG,2.0,0.5542,1.4458,72.29
18,ECG,2.0,0.5613,1.4387,71.93
19,ECG,2.0,0.5549,1.4451,72.26
20,ECG,2.0,0.5418,1.4582,72.91
21,ECG,2.0,0.5458,1.4542,72.71
22,ECG,2.0,0.5506,1.4494,72.47
23,ECG,2.0,0.5620,1.4380,71.90
24,ECG,2.0,0.5602,1.4398,71.99
25,ECG,2.0,0.5436,1.4564,72.82
26,ECG,2.0,0.5560,1.4440,72.20
27,ECG,2.0,0.5628,1.4372,71.86
28,ECG,2.0,0.5611,1.4389,71.94
29,ECG,2.0,0.5483,1.4517,72.58
30,ECG,2.0,0.5535,1.4465,72.33
31,ECG,2.0,0.5427,1.4573,72.86
32,ECG,2.0,0.5438,1.4562,72.81
33,ECG,2.0,0.5429,1.4571,72.85
34,ECG,2.0,0.5431,1.4569,72.84
35,ECG,2.0,0.5600,1.4400,72.00
36,ECG,2.0,0.5583,1.4417,72.08
37,ECG,2.0,0.5472,1.4528,72.64
38,ECG,2.0,0.5570,1.4430,72.15
39,ECG,2.0,0.5450,1.4550,72.75
40,ECG,2.0,0.5482,1.4518,72.59
41,ECG,2.0,0.5625,1.4375,71.87
42,ECG,2.0,0.5517,1.4483,72.42
43,ECG,2.0,0.5538,1.4462,72.31
44,ECG,2.0,0.5575,1.4425,72.12
45,ECG,2.0,0.5621,1.4379,71.89
46,ECG,2.0,0.5475,1.4525,72.62
