FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.118,10.1.0.184,95,36,50,37.89,0.44,83.28,116.60
2,10.1.0.184,10.1.0.118,36,26,10,72.22,0.27,65.35,65.92
3,10.1.0.110,10.1.0.181,95,38,53,40.00,0.52,73.66,143.95
4,10.1.0.181,10.1.0.110,38,30,8,78.95,0.17,308.87,439.34
5,10.1.0.31,10.1.0.189,373,59,283,15.82,0.88,149.56,127.28
6,10.1.0.189,10.1.0.31,59,45,14,76.27,0.16,121.18,87.43
7,10.1.0.10,10.1.0.187,375,71,270,18.93,2.62,91.76,61.60
8,10.1.0.187,10.1.0.10,71,62,9,87.32,0.71,68.52,83.70
9,10.1.0.45,10.1.0.196,371,290,48,78.17,4.80,64.37,68.42
10,10.1.0.196,10.1.0.45,290,247,43,85.17,0.94,53.40,45.63
11,10.1.0.74,10.1.0.187,97,21,67,21.65,0.34,162.24,187.60
12,10.1.0.187,10.1.0.74,21,16,5,76.19,0.17,45.81,28.53
13,10.1.0.113,10.1.0.185,94,83,2,88.30,0.81,6.40,10.88
14,10.1.0.185,10.1.0.113,83,80,3,96.39,0.30,25.15,29.37
15,10.1.0.103,10.1.0.183,94,79,7,84.04,0.75,108.44,123.24
16,10.1.0.183,10.1.0.103,79,74,4,93.67,0.28,66.72,92.40
17,10.1.0.184,10.1.0.201,717,0,710,0.00,0.00,0.00,0.00
18,10.1.0.73,10.1.0.195,95,37,50,38.95,0.38,224.59,218.28
19,10.1.0.64,10.1.0.197,94,47,39,50.00,0.54,100.62,84.24
20,10.1.0.197,10.1.0.64,47,35,12,74.47,0.17,100.09,135.85
21,10.1.0.195,10.1.0.73,37,19,18,51.35,0.08,106.95,57.83
22,10.1.0.181,10.1.0.201,828,23,746,2.78,3.98,39.00,32.45
23,10.1.0.189,10.1.0.201,956,3,920,0.31,0.17,1363.00,1144.00
24,10.1.0.25,10.1.0.189,97,83,14,85.57,0.45,134.82,112.56
25,10.1.0.25,10.1.0.201,243,0,243,0.00,0.00,0.00,0.00
26,10.1.0.163,10.1.0.197,21,11,7,52.38,0.08,30.36,32.00
27,10.1.0.189,10.1.0.25,191,172,19,90.05,0.93,162.74,85.04
28,10.1.0.197,10.1.0.163,1,1,0,100.00,45.29,6.00,0.00
29,10.1.0.187,10.1.0.201,258,81,175,31.40,9.46,39.53,19.76
