FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.118,10.1.0.184,95,78,13,82.11,0.67,181.36,211.21
2,10.1.0.184,10.1.0.118,77,58,16,75.32,0.21,153.45,167.04
3,10.1.0.110,10.1.0.181,95,82,11,86.32,0.72,30.16,31.38
4,10.1.0.181,10.1.0.110,82,48,27,58.54,0.18,6.08,8.55
5,10.1.0.31,10.1.0.189,373,68,276,18.23,0.98,463.18,336.57
6,10.1.0.189,10.1.0.31,68,29,35,42.65,0.16,169.90,182.07
7,10.1.0.10,10.1.0.187,375,185,163,49.33,2.67,195.34,160.94
8,10.1.0.187,10.1.0.10,185,149,34,80.54,0.61,89.50,94.09
9,10.1.0.45,10.1.0.196,371,366,5,98.65,5.23,9.82,16.08
10,10.1.0.196,10.1.0.45,365,364,1,99.73,1.20,18.70,24.35
11,10.1.0.74,10.1.0.187,97,31,57,31.96,0.55,182.94,163.00
12,10.1.0.187,10.1.0.74,31,26,5,83.87,0.19,20.69,22.60
13,10.1.0.113,10.1.0.185,94,89,5,94.68,0.77,8.87,13.65
14,10.1.0.185,10.1.0.113,88,88,0,100.00,0.29,15.69,28.16
15,10.1.0.103,10.1.0.183,94,92,2,97.87,0.80,84.93,127.15
16,10.1.0.183,10.1.0.103,91,89,2,97.80,0.30,92.37,99.95
17,10.1.0.135,10.1.0.183,146,131,15,89.73,0.52,76.63,57.27
18,10.1.0.135,10.1.0.103,85,83,2,97.65,0.33,68.16,83.82
19,10.1.0.174,10.1.0.183,181,147,26,81.22,0.62,82.61,71.68
20,10.1.0.174,10.1.0.103,119,77,40,64.71,0.30,88.30,84.92
21,10.1.0.103,10.1.0.183,151,150,1,99.34,0.60,68.83,52.19
22,10.1.0.54,10.1.0.183,22,8,14,36.36,0.17,355.38,371.86
23,10.1.0.54,10.1.0.103,124,118,6,95.16,0.50,61.91,48.63
24,10.1.0.183,10.1.0.174,104,88,14,84.62,0.38,141.17,107.38
25,10.1.0.183,10.1.0.135,139,129,7,92.81,0.52,93.05,78.55
26,10.1.0.184,10.1.0.201,1449,8,1326,0.55,0.13,478.50,326.43
27,10.1.0.73,10.1.0.195,95,70,19,73.68,0.65,159.41,165.59
28,10.1.0.64,10.1.0.197,94,84,10,89.36,0.73,98.44,95.42
29,10.1.0.197,10.1.0.64,83,74,8,89.16,0.25,56.15,68.93
30,10.1.0.195,10.1.0.73,70,53,16,75.71,0.19,206.21,121.27
31,10.1.0.181,10.1.0.201,1027,19,923,1.85,1.84,308.26,273.94
32,10.1.0.189,10.1.0.201,1508,86,1292,5.70,2.69,268.74,87.00
33,10.1.0.25,10.1.0.189,119,98,21,82.35,0.39,168.36,105.27
34,10.1.0.25,10.1.0.201,14,13,1,92.86,2.36,17.92,22.08
35,10.1.0.163,10.1.0.197,21,20,1,95.24,0.12,127.35,229.32
36,10.1.0.189,10.1.0.25,111,80,31,72.07,0.33,192.31,87.73
37,10.1.0.197,10.1.0.163,1,1,0,100.00,45.29,6.00,0.00
38,10.1.0.187,10.1.0.201,619,44,544,7.11,2.07,240.50,209.51
39,10.1.0.86,10.1.0.187,42,7,35,16.67,0.08,120.86,93.83
40,10.1.0.86,10.1.0.201,365,214,150,58.63,0.98,169.97,75.24
41,10.1.0.196,10.1.0.201,1865,6,1701,0.32,0.24,750.67,413.00
42,10.1.0.187,10.1.0.86,36,18,18,50.00,0.42,41.33,33.88
43,10.1.0.38,10.1.0.186,376,347,15,92.29,5.15,27.41,33.45
44,10.1.0.186,10.1.0.38,347,333,8,95.97,1.13,83.02,50.75
45,10.1.0.185,10.1.0.201,1333,4,1203,0.30,0.47,765.00,803.00
46,10.1.0.7,10.1.0.200,370,201,160,54.32,2.92,172.16,135.94
47,10.1.0.200,10.1.0.7,201,58,121,28.86,0.19,95.93,120.18
48,10.1.0.33,10.1.0.189,369,314,55,85.09,4.52,129.31,112.20
49,10.1.0.189,10.1.0.33,313,253,60,80.83,0.84,242.37,121.87
50,10.1.0.195,10.1.0.201,1405,21,1265,1.49,0.63,291.10,185.95
51,10.1.0.197,10.1.0.201,1491,24,1351,1.61,0.32,387.62,227.83
52,10.1.0.25,10.1.0.35,123,88,35,71.54,0.57,270.51,153.79
53,10.1.0.189,10.1.0.35,113,62,50,54.87,0.29,313.92,118.90
54,10.1.0.188,10.1.0.35,86,46,40,53.49,0.19,164.80,127.96
55,10.1.0.188,10.1.0.201,297,83,213,27.95,0.34,164.94,66.51
56,10.1.0.88,10.1.0.35,103,83,20,80.58,0.33,233.33,185.68
57,10.1.0.88,10.1.0.201,516,426,90,82.56,1.87,195.88,65.14
58,10.1.0.176,10.1.0.35,98,72,26,73.47,0.30,178.31,157.44
59,10.1.0.176,10.1.0.201,85,18,66,21.18,0.08,161.56,132.94
60,10.1.0.35,10.1.0.49,15,9,6,60.00,0.26,345.22,209.00
61,10.1.0.35,10.1.0.188,161,105,56,65.22,0.43,236.98,133.35
62,10.1.0.35,10.1.0.88,222,165,57,74.32,0.71,231.76,109.41
63,10.1.0.49,10.1.0.184,113,96,17,84.96,0.55,250.19,86.92
64,10.1.0.35,10.1.0.25,80,66,14,82.50,0.40,213.71,159.97
65,10.1.0.187,10.1.0.123,50,47,3,94.00,0.19,126.02,87.76
66,10.1.0.123,10.1.0.175,85,66,18,77.65,0.28,144.08,96.23
67,10.1.0.175,10.1.0.181,19,18,1,94.74,0.53,55.83,32.12
68,10.1.0.186,10.1.0.201,1769,9,1615,0.51,0.51,124.22,135.50
69,10.1.0.175,10.1.0.186,46,25,21,54.35,0.19,226.72,212.25
70,10.1.0.175,10.1.0.123,96,82,13,85.42,0.35,130.35,67.54
71,10.1.0.123,10.1.0.187,225,218,7,96.89,0.89,113.07,58.01
72,10.1.0.117,10.1.0.183,94,47,43,50.00,0.42,129.26,143.67
73,10.1.0.183,10.1.0.117,47,37,10,78.72,0.13,99.38,114.00
74,10.1.0.83,10.1.0.196,93,93,0,100.00,0.82,3.44,5.64
75,10.1.0.196,10.1.0.83,92,92,0,100.00,0.31,14.82,21.99
76,10.1.0.200,10.1.0.201,1565,36,1400,2.30,6.32,194.72,175.97
77,10.1.0.189,10.1.0.19,102,91,11,89.22,0.38,183.20,113.34
78,10.1.0.35,10.1.0.115,5,3,2,60.00,0.06,333.67,285.00
79,10.1.0.49,10.1.0.33,149,106,42,71.14,0.44,151.24,105.45
80,10.1.0.49,10.1.0.35,53,17,36,32.08,2.75,30.82,23.44
81,10.1.0.184,10.1.0.33,23,12,11,52.17,1.15,46.67,29.73
82,10.1.0.184,10.1.0.49,117,72,45,61.54,0.56,200.10,124.49
83,10.1.0.19,10.1.0.153,142,131,11,92.25,0.55,214.96,128.98
84,10.1.0.153,10.1.0.185,33,19,14,57.58,0.92,35.11,45.00
85,10.1.0.33,10.1.0.153,253,224,29,88.54,0.98,149.69,89.73
86,10.1.0.19,10.1.0.165,13,10,3,76.92,0.23,157.00,117.56
87,10.1.0.19,10.1.0.189,198,153,45,77.27,0.63,225.29,105.53
88,10.1.0.193,10.1.0.164,6,3,3,50.00,0.35,360.33,497.00
89,10.1.0.193,10.1.0.201,306,70,233,22.88,0.29,242.13,125.17
90,10.1.0.166,10.1.0.194,238,215,23,90.34,0.89,191.74,99.41
91,10.1.0.166,10.1.0.201,158,74,84,46.84,0.74,66.11,36.82
92,10.1.0.189,10.1.0.66,182,102,80,56.04,0.43,272.82,133.49
93,10.1.0.153,10.1.0.66,43,12,30,27.91,0.05,135.25,179.27
94,10.1.0.153,10.1.0.19,308,300,8,97.40,1.23,58.48,39.91
95,10.1.0.161,10.1.0.32,148,148,0,100.00,0.64,69.26,76.48
96,10.1.0.161,10.1.0.201,451,441,10,97.78,1.81,79.93,34.16
97,10.1.0.104,10.1.0.32,106,91,15,85.85,0.65,130.38,74.12
98,10.1.0.104,10.1.0.201,458,354,102,77.29,1.64,175.30,59.51
99,10.1.0.32,10.1.0.161,338,317,21,93.79,1.32,69.88,41.61
100,10.1.0.32,10.1.0.18,37,17,20,45.95,0.28,113.00,140.38
101,10.1.0.165,10.1.0.195,201,184,17,91.54,0.79,63.38,51.32
102,10.1.0.32,10.1.0.104,81,67,14,82.72,0.46,95.27,61.50
103,10.1.0.18,10.1.0.197,32,20,12,62.50,0.30,175.45,88.26
104,10.1.0.194,10.1.0.166,427,385,42,90.16,2.01,101.07,55.70
105,10.1.0.194,10.1.0.177,73,66,7,90.41,0.37,234.71,126.29
106,10.1.0.177,10.1.0.195,79,52,27,65.82,0.45,202.67,115.65
107,10.1.0.66,10.1.0.165,8,4,4,50.00,0.61,14.25,13.33
108,10.1.0.116,10.1.0.190,93,46,41,49.46,0.43,208.91,172.13
109,10.1.0.190,10.1.0.116,46,19,24,41.30,0.09,161.95,213.33
110,10.1.0.183,10.1.0.201,791,63,683,7.96,0.87,99.57,81.02
111,10.1.0.148,10.1.0.199,21,15,4,71.43,0.10,233.53,265.71
112,10.1.0.199,10.1.0.148,1,1,0,100.00,33.88,8.00,0.00
113,10.1.0.129,10.1.0.197,21,20,0,95.24,0.12,3.95,6.05
114,10.1.0.197,10.1.0.129,1,1,0,100.00,30.98,9.00,0.00
115,10.1.0.195,10.1.0.75,163,124,39,76.07,0.56,206.39,106.26
116,10.1.0.195,10.1.0.177,46,17,29,36.96,0.22,270.29,153.88
117,10.1.0.177,10.1.0.75,21,11,10,52.38,0.06,244.36,286.40
118,10.1.0.177,10.1.0.194,165,134,31,81.21,0.75,137.22,90.95
119,10.1.0.194,10.1.0.76,144,129,15,89.58,0.52,140.13,65.34
120,10.1.0.166,10.1.0.30,99,89,10,89.90,0.37,164.90,128.38
121,10.1.0.104,10.1.0.30,116,75,41,64.66,0.31,186.51,133.50
122,10.1.0.76,10.1.0.7,11,3,8,27.27,0.06,176.33,245.50
123,10.1.0.30,10.1.0.166,194,149,45,76.80,0.76,197.32,113.38
124,10.1.0.30,10.1.0.7,10,6,4,60.00,0.05,59.50,85.80
125,10.1.0.7,10.1.0.200,11,11,0,100.00,0.61,39.09,41.30
126,10.1.0.30,10.1.0.104,159,120,39,75.47,0.48,161.37,105.49
127,10.1.0.35,10.1.0.176,57,50,7,87.72,0.21,160.30,132.14
128,10.1.0.115,10.1.0.153,152,138,14,90.79,0.67,130.25,84.96
129,10.1.0.17,10.1.0.200,365,275,63,75.34,4.02,86.75,86.96
130,10.1.0.154,10.1.0.197,21,12,6,57.14,0.12,176.00,204.55
131,10.1.0.200,10.1.0.17,275,219,51,79.64,0.88,38.68,43.10
132,10.1.0.197,10.1.0.154,1,1,0,100.00,31.82,9.00,0.00
133,10.1.0.109,10.1.0.199,93,91,2,97.85,0.81,53.18,72.97
134,10.1.0.199,10.1.0.109,90,88,2,97.78,0.30,50.08,60.98
135,10.1.0.190,10.1.0.201,510,8,486,1.57,1.48,45.38,65.00
136,10.1.0.19,10.1.0.190,204,170,34,83.33,0.83,184.69,92.78
137,10.1.0.66,10.1.0.190,85,67,18,78.82,0.65,164.36,123.05
138,10.1.0.66,10.1.0.189,195,142,51,72.82,0.62,159.22,135.18
139,10.1.0.153,10.1.0.190,309,293,16,94.82,1.22,77.00,57.24
140,10.1.0.165,10.1.0.190,92,60,32,65.22,0.64,123.00,83.08
141,10.1.0.165,10.1.0.19,8,4,4,50.00,0.18,143.50,118.00
142,10.1.0.115,10.1.0.190,13,8,5,61.54,0.20,197.38,214.71
143,10.1.0.115,10.1.0.35,24,10,14,41.67,0.33,202.30,147.11
144,10.1.0.197,10.1.0.65,97,91,6,93.81,0.39,106.75,66.58
145,10.1.0.197,10.1.0.18,14,5,9,35.71,0.14,37.20,41.00
146,10.1.0.18,10.1.0.27,57,45,12,78.95,0.25,122.67,99.84
