NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5611,1.4389,71.94
1,ECG,2.0,0.5466,1.4534,72.67
2,ECG,2.0,0.5623,1.4377,71.88
3,ECG,2.0,0.5505,1.4495,72.47
4,ECG,2.0,0.5559,1.4441,72.20
5,ECG,2.0,0.5630,1.4370,71.85
6,ECG,2.0,0.5520,1.4480,72.40
7,ECG,2.0,0.5456,1.4544,72.72
8,ECG,2.0,0.5470,1.4530,72.65
9,ECG,2.0,0.5585,1.4415,72.08
10,ECG,2.0,0.5517,1.4483,72.42
11,ECG,2.0,0.5630,1.4370,71.85
12,ECG,2.0,0.5439,1.4561,72.80
13,ECG,2.0,0.5434,1.4566,72.83
14,ECG,2.0,0.5415,1.4585,72.92
15,ECG,2.0,0.5448,1.4552,72.76
16,ECG,2.0,0.5602,1.4398,71.99
17,ECG,2.0,0.5490,1.4510,72.55
18,ECG,2.0,0.5468,1.4532,72.66
19,ECG,2.0,0.5486,1.4514,72.57
20,ECG,2.0,0.5581,1.4419,72.10
21,ECG,2.0,0.5468,1.4532,72.66
22,ECG,2.0,0.5552,1.4448,72.24
23,ECG,2.0,0.5497,1.4503,72.51
24,ECG,2.0,0.5416,1.4584,72.92
25,ECG,2.0,0.5534,1.4466,72.33
26,ECG,2.0,0.5546,1.4454,72.27
27,ECG,2.0,0.5533,1.4467,72.34
28,ECG,2.0,0.5429,1.4571,72.86
29,ECG,2.0,0.5527,1.4473,72.36
30,ECG,2.0,0.5581,1.4419,72.09
31,ECG,2.0,0.5570,1.4430,72.15
32,ECG,2.0,0.5607,1.4393,71.97
33,HR,2.0,0.5603,1.4397,71.98
34,HR,2.0,0.5520,1.4480,72.40
35,HR,2.0,0.5432,1.4568,72.84
36,HR,2.0,0.5496,1.4504,72.52
37,HR,2.0,0.5601,1.4399,71.99
38,HR,2.0,0.5546,1.4454,72.27
39,HR,2.0,0.5562,1.4438,72.19
40,HR,2.0,0.5468,1.4532,72.66
41,HR,2.0,0.5508,1.4492,72.46
42,HR,2.0,0.5469,1.4531,72.66
43,HR,2.0,0.5567,1.4433,72.16
44,HR,2.0,0.5558,1.4442,72.21
45,HR,2.0,0.5412,1.4588,72.94
46,HR,2.0,0.5615,1.4385,71.93
47,HR,2.0,0.5483,1.4517,72.58
48,HR,2.0,0.5492,1.4508,72.54
49,HR,2.0,0.5433,1.4567,72.83
50,HR,2.0,0.5629,1.4371,71.86
51,HR,2.0,0.5450,1.4550,72.75
52,HR,2.0,0.5546,1.4454,72.27
53,HR,2.0,0.5431,1.4569,72.85
54,HR,2.0,0.5430,1.4570,72.85
55,HR,2.0,0.5633,1.4367,71.84
56,HR,2.0,0.5437,1.4563,72.82
57,HR,2.0,0.5607,1.4393,71.96
58,HR,2.0,0.5476,1.4524,72.62
59,HR,2.0,0.5548,1.4452,72.26
60,HR,2.0,0.5546,1.4454,72.27
61,HR,2.0,0.5574,1.4426,72.13
62,HR,2.0,0.5417,1.4583,72.92
63,HR,2.0,0.5592,1.4408,72.04
64,HR,2.0,0.5536,1.4464,72.32
65,HR,2.0,0.5485,1.4515,72.57
66,Temp,2.0,0.5581,1.4419,72.09
67,Temp,2.0,0.5463,1.4537,72.68
68,Temp,2.0,0.5623,1.4377,71.88
69,Temp,2.0,0.5600,1.4400,72.00
70,Temp,2.0,0.5492,1.4508,72.54
71,Temp,2.0,0.5485,1.4515,72.58
72,Temp,2.0,0.5524,1.4476,72.38
73,Temp,2.0,0.5568,1.4432,72.16
74,Temp,2.0,0.5624,1.4376,71.88
75,Temp,2.0,0.5541,1.4459,72.29
76,Temp,2.0,0.5527,1.4473,72.37
77,Temp,2.0,0.5526,1.4474,72.37
78,Temp,2.0,0.5530,1.4470,72.35
79,Temp,2.0,0.5603,1.4397,71.98
80,Temp,2.0,0.5635,1.4365,71.82
81,Temp,2.0,0.5538,1.4462,72.31
82,Temp,2.0,0.5462,1.4538,72.69
83,Temp,2.0,0.5626,1.4374,71.87
84,Temp,2.0,0.5502,1.4498,72.49
85,Temp,2.0,0.5441,1.4559,72.80
86,Temp,2.0,0.5427,1.4573,72.86
87,Temp,2.0,0.5582,1.4418,72.09
88,Temp,2.0,0.5583,1.4417,72.08
89,Temp,2.0,0.5452,1.4548,72.74
90,Temp,2.0,0.5458,1.4542,72.71
91,Temp,2.0,0.5633,1.4367,71.83
92,Temp,2.0,0.5510,1.4490,72.45
93,Temp,2.0,0.5426,1.4574,72.87
94,Temp,2.0,0.5511,1.4489,72.45
95,Temp,2.0,0.5618,1.4382,71.91
96,Temp,2.0,0.5480,1.4520,72.60
97,Temp,2.0,0.5617,1.4383,71.91
98,Temp,2.0,0.5593,1.4407,72.03
99,Temp,2.0,0.5570,1.4430,72.15
100,CH,5.0,1.3965,3.6035,72.07
101,CH,5.0,1.4015,3.5985,71.97
102,CH,5.0,1.3926,3.6074,72.15
103,CH,5.0,1.3930,3.6070,72.14
104,CH,5.0,1.4074,3.5926,71.85
105,CH,5.0,1.4008,3.5992,71.98
106,CH,5.0,1.4020,3.5980,71.96
107,CH,5.0,1.4095,3.5905,71.81
108,CH,5.0,1.4027,3.5973,71.95
109,CH,5.0,1.3907,3.6093,72.19
