FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.37,10.1.0.104,262,262,0,100.00,0.82,0.42,0.10
2,10.1.0.104,10.1.0.37,261,261,0,100.00,0.31,0.53,0.02
3,10.1.0.19,10.1.0.107,1043,1043,0,100.00,5.33,1.07,0.10
4,10.1.0.77,10.1.0.19,1,1,0,100.00,49.86,7.00,0.00
5,10.1.0.77,10.1.0.107,5,5,0,100.00,0.15,1.20,1.00
6,10.1.0.19,10.1.0.77,3,3,0,100.00,0.08,6.00,6.00
7,10.1.0.107,10.1.0.19,1042,1042,0,100.00,1.22,1.36,0.28
8,10.1.0.29,10.1.0.108,1041,1041,0,100.00,5.32,4.24,1.14
9,10.1.0.30,10.1.0.104,1046,1046,0,100.00,5.35,0.42,0.04
10,10.1.0.104,10.1.0.30,1045,1045,0,100.00,1.23,0.51,0.00
11,10.1.0.76,10.1.0.15,4,4,0,100.00,0.16,2.50,2.00
12,10.1.0.76,10.1.0.108,17,17,0,100.00,0.51,2.12,2.56
13,10.1.0.15,10.1.0.76,13,13,0,100.00,0.38,0.85,0.50
14,10.1.0.15,10.1.0.25,2,2,0,100.00,0.18,5.50,9.00
15,10.1.0.79,10.1.0.110,54,54,0,100.00,0.11,0.46,0.13
16,10.1.0.110,10.1.0.79,1,1,0,100.00,33.80,8.00,0.00
17,10.1.0.25,10.1.0.29,1,1,0,100.00,77.09,4.00,0.00
18,10.1.0.108,10.1.0.29,1040,1040,0,100.00,1.22,2.46,0.32
19,10.1.0.100,10.1.0.103,54,54,0,100.00,0.11,0.63,0.32
20,10.1.0.103,10.1.0.100,1,1,0,100.00,140.38,2.00,0.00
21,10.1.0.50,10.1.0.104,263,263,0,100.00,0.83,0.37,0.04
22,10.1.0.104,10.1.0.50,262,262,0,100.00,0.31,0.54,0.03
23,10.1.0.65,10.1.0.101,261,261,0,100.00,0.82,1.03,0.13
24,10.1.0.35,10.1.0.65,1,1,0,100.00,34.84,11.00,0.00
25,10.1.0.35,10.1.0.101,3,3,0,100.00,0.11,2.00,0.00
26,10.1.0.65,10.1.0.35,2,2,0,100.00,0.06,4.00,6.00
27,10.1.0.101,10.1.0.65,260,260,0,100.00,0.31,1.33,0.22
28,10.1.0.35,10.1.0.101,263,263,0,100.00,0.83,0.46,0.19
29,10.1.0.101,10.1.0.35,262,262,0,100.00,0.31,0.52,0.02
30,10.1.0.3,10.1.0.104,1038,1038,0,100.00,5.33,0.40,0.02
31,10.1.0.104,10.1.0.3,1037,1037,0,100.00,1.22,0.52,0.01
32,10.1.0.84,10.1.0.107,54,54,0,100.00,0.12,0.76,0.43
33,10.1.0.107,10.1.0.84,1,1,0,100.00,78.08,3.00,0.00
34,10.1.0.22,10.1.0.103,1040,1040,0,100.00,5.34,0.41,0.04
35,10.1.0.103,10.1.0.22,1039,1039,0,100.00,1.22,0.51,0.00
36,10.1.0.71,10.1.0.109,54,54,0,100.00,0.12,2.44,2.15
37,10.1.0.66,10.1.0.71,1,1,0,100.00,37.26,10.00,0.00
38,10.1.0.66,10.1.0.109,2,2,0,100.00,0.00,6.00,3.00
39,10.1.0.9,10.1.0.71,1,1,0,100.00,29.52,13.00,0.00
40,10.1.0.9,10.1.0.109,6,6,0,100.00,0.01,3.00,2.00
41,10.1.0.13,10.1.0.71,1,1,0,100.00,27.18,14.00,0.00
42,10.1.0.13,10.1.0.109,6,6,0,100.00,0.01,170.83,201.80
43,10.1.0.71,10.1.0.66,1,1,0,100.00,27.95,8.00,0.00
44,10.1.0.71,10.1.0.9,1,1,0,100.00,23.89,10.00,0.00
45,10.1.0.71,10.1.0.13,1,1,0,100.00,90.67,2.00,0.00
46,10.1.0.109,10.1.0.71,1,1,0,100.00,26.20,11.00,0.00
47,10.1.0.27,10.1.0.105,1032,1032,0,100.00,5.32,1.07,0.13
48,10.1.0.87,10.1.0.27,1,1,0,100.00,95.97,4.00,0.00
49,10.1.0.87,10.1.0.105,1,1,0,100.00,44.41,8.00,0.00
50,10.1.0.14,10.1.0.27,1,1,0,100.00,140.08,2.00,0.00
51,10.1.0.14,10.1.0.105,1,1,0,100.00,36.57,10.00,0.00
52,10.1.0.27,10.1.0.14,1,1,0,100.00,73.16,3.00,0.00
53,10.1.0.27,10.1.0.87,1,1,0,100.00,25.67,9.00,0.00
54,10.1.0.105,10.1.0.27,1031,1031,0,100.00,1.22,1.05,0.05
55,10.1.0.52,10.1.0.109,261,261,0,100.00,0.82,1.05,0.17
56,10.1.0.43,10.1.0.52,1,1,0,100.00,191.91,2.00,0.00
57,10.1.0.43,10.1.0.109,5,5,0,100.00,0.02,8.80,6.75
58,10.1.0.55,10.1.0.52,1,1,0,100.00,32.42,11.00,0.00
59,10.1.0.55,10.1.0.109,1,1,0,100.00,42.17,9.00,0.00
60,10.1.0.52,10.1.0.43,1,1,0,100.00,84.90,2.00,0.00
61,10.1.0.52,10.1.0.55,1,1,0,100.00,59.89,4.00,0.00
62,10.1.0.109,10.1.0.52,260,260,0,100.00,0.31,1.04,0.02
63,10.1.0.61,10.1.0.104,260,260,0,100.00,0.82,0.38,0.04
64,10.1.0.104,10.1.0.61,259,259,0,100.00,0.31,0.53,0.02
65,10.1.0.93,10.1.0.107,54,54,0,100.00,0.12,0.52,0.21
66,10.1.0.107,10.1.0.93,1,1,0,100.00,113.19,2.00,0.00
67,10.1.0.76,10.1.0.108,54,54,0,100.00,0.12,0.46,0.13
68,10.1.0.108,10.1.0.76,1,1,0,100.00,596.76,0.00,0.00
69,10.1.0.95,10.1.0.108,54,54,0,100.00,0.12,0.69,0.38
70,10.1.0.108,10.1.0.95,1,1,0,100.00,60.64,5.00,0.00
71,10.1.0.53,10.1.0.110,260,260,0,100.00,0.82,1.07,0.19
72,10.1.0.83,10.1.0.53,2,2,0,100.00,0.06,5.00,9.00
73,10.1.0.83,10.1.0.110,22,22,0,100.00,0.81,1.05,0.52
74,10.1.0.53,10.1.0.83,18,18,0,100.00,0.65,5.61,4.47
75,10.1.0.110,10.1.0.53,259,259,0,100.00,0.31,1.34,0.24
76,10.1.0.18,10.1.0.105,1031,1031,0,100.00,5.32,0.41,0.04
77,10.1.0.105,10.1.0.18,1030,1030,0,100.00,1.22,0.54,0.06
78,10.1.0.83,10.1.0.110,54,54,0,100.00,0.12,0.44,0.19
79,10.1.0.110,10.1.0.83,1,1,0,100.00,62.14,4.00,0.00
80,10.1.0.1,10.1.0.110,3,3,0,100.00,0.09,5.33,7.50
81,10.1.0.1,10.1.0.83,1,1,0,100.00,28.45,13.00,0.00
82,10.1.0.81,10.1.0.110,3,3,0,100.00,0.04,4.00,5.50
83,10.1.0.81,10.1.0.83,1,1,0,100.00,64.86,5.00,0.00
84,10.1.0.110,10.1.0.81,1,1,0,100.00,0.90,265.00,0.00
85,10.1.0.110,10.1.0.1,1,1,0,100.00,30.20,7.00,0.00
86,10.1.0.60,10.1.0.106,258,258,0,100.00,0.82,0.41,0.12
87,10.1.0.106,10.1.0.60,257,257,0,100.00,0.31,0.54,0.05
88,10.1.0.24,10.1.0.108,1027,1024,3,99.71,5.31,1.09,0.17
89,10.1.0.15,10.1.0.24,2,2,0,100.00,0.76,703.00,599.00
90,10.1.0.76,10.1.0.24,1,1,0,100.00,0.19,2001.00,0.00
91,10.1.0.82,10.1.0.108,54,54,0,100.00,0.12,0.52,0.21
92,10.1.0.108,10.1.0.82,1,1,0,100.00,60.64,5.00,0.00
93,10.1.0.5,10.1.0.106,1028,1024,4,99.61,5.31,5.03,1.83
94,10.1.0.97,10.1.0.104,54,54,0,100.00,0.12,0.44,0.11
95,10.1.0.104,10.1.0.97,1,1,0,100.00,29.88,10.00,0.00
96,10.1.0.4,10.1.0.101,1029,1029,0,100.00,5.34,0.40,0.02
97,10.1.0.101,10.1.0.4,1028,1028,0,100.00,1.22,0.51,0.00
98,10.1.0.74,10.1.0.108,55,54,1,98.18,0.12,20.17,19.36
99,10.1.0.76,10.1.0.74,1,1,0,100.00,63.04,6.00,0.00
100,10.1.0.17,10.1.0.74,1,1,0,100.00,87.69,4.00,0.00
101,10.1.0.17,10.1.0.108,2,2,0,100.00,0.76,800.00,403.00
102,10.1.0.74,10.1.0.17,2,2,0,100.00,1.55,2.50,4.00
103,10.1.0.74,10.1.0.76,1,1,0,100.00,40.37,5.00,0.00
104,10.1.0.9,10.1.0.109,1031,1031,0,100.00,5.35,0.41,0.03
105,10.1.0.109,10.1.0.9,1030,1030,0,100.00,1.23,0.52,0.01
106,10.1.0.8,10.1.0.106,1026,1026,0,100.00,5.33,0.45,0.11
107,10.1.0.106,10.1.0.8,1025,1025,0,100.00,1.22,0.51,0.00
108,10.1.0.25,10.1.0.108,1028,1028,0,100.00,5.34,1.70,0.17
109,10.1.0.108,10.1.0.25,1027,1027,0,100.00,1.22,2.69,0.99
110,10.1.0.72,10.1.0.104,54,54,0,100.00,0.12,0.46,0.17
111,10.1.0.104,10.1.0.72,2,2,0,100.00,0.01,4.00,7.00
112,10.1.0.74,10.1.0.88,1,1,0,100.00,146.63,2.00,0.00
113,10.1.0.88,10.1.0.24,1,1,0,100.00,34.59,11.00,0.00
114,10.1.0.108,10.1.0.76,3,3,0,100.00,0.19,0.33,0.00
115,10.1.0.62,10.1.0.110,258,258,0,100.00,0.82,0.40,0.07
116,10.1.0.110,10.1.0.62,257,257,0,100.00,0.31,0.52,0.01
117,10.1.0.90,10.1.0.84,1,1,0,100.00,0.38,1001.00,0.00
118,10.1.0.90,10.1.0.106,1,1,0,100.00,32.21,11.00,0.00
119,10.1.0.8,10.1.0.84,1,1,0,100.00,24.98,15.00,0.00
120,10.1.0.8,10.1.0.106,1,1,0,100.00,1261.74,0.00,0.00
121,10.1.0.111,10.1.0.84,1,1,0,100.00,72.14,5.00,0.00
122,10.1.0.111,10.1.0.106,1,1,0,100.00,40.22,9.00,0.00
123,10.1.0.84,10.1.0.111,1,1,0,100.00,0.24,1007.00,0.00
