FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.147,10.1.0.215,253,253,0,100.00,4.23,0.70,0.06
2,10.1.0.54,10.1.0.210,253,253,0,100.00,4.23,0.84,0.29
3,10.1.0.140,10.1.0.206,253,253,0,100.00,4.23,0.70,0.06
4,10.1.0.8,10.1.0.206,253,250,3,98.81,4.18,1.23,1.12
5,10.1.0.52,10.1.0.216,253,253,0,100.00,4.23,0.82,0.29
6,10.1.0.188,10.1.0.204,253,253,0,100.00,4.23,0.81,0.29
7,10.1.0.66,10.1.0.217,253,253,0,100.00,4.23,1.18,0.98
8,10.1.0.14,10.1.0.211,253,253,0,100.00,4.23,0.70,0.06
9,10.1.0.185,10.1.0.209,253,253,0,100.00,4.23,1.75,2.08
10,10.1.0.68,10.1.0.215,253,253,0,100.00,4.23,0.75,0.16
11,10.1.0.26,10.1.0.202,253,253,0,100.00,4.23,0.78,0.22
12,10.1.0.90,10.1.0.216,252,252,0,100.00,4.23,0.69,0.02
13,10.1.0.130,10.1.0.217,252,252,0,100.00,4.23,2.53,3.70
14,10.1.0.75,10.1.0.202,252,252,0,100.00,4.23,0.77,0.20
15,10.1.0.143,10.1.0.213,252,252,0,100.00,4.23,4.94,8.58
16,10.1.0.33,10.1.0.213,252,252,0,100.00,4.23,1.06,0.76
17,10.1.0.142,10.1.0.214,252,252,0,100.00,4.23,5.37,9.14
18,10.1.0.32,10.1.0.219,252,252,0,100.00,4.23,0.87,0.40
19,10.1.0.107,10.1.0.218,252,252,0,100.00,4.23,0.70,0.07
20,10.1.0.9,10.1.0.203,252,252,0,100.00,4.23,0.76,0.16
21,10.1.0.57,10.1.0.214,252,252,0,100.00,4.23,0.72,0.11
22,10.1.0.76,10.1.0.207,251,251,0,100.00,4.23,0.73,0.12
23,10.1.0.152,10.1.0.220,251,251,0,100.00,4.23,0.71,0.08
24,10.1.0.96,10.1.0.219,251,251,0,100.00,4.23,1.77,1.93
25,10.1.0.32,10.1.0.96,12,12,0,100.00,0.02,9.00,7.45
26,10.1.0.32,10.1.0.219,18,18,0,100.00,0.03,20.78,23.76
27,10.1.0.162,10.1.0.96,12,12,0,100.00,0.02,19.17,24.09
28,10.1.0.162,10.1.0.219,11,11,0,100.00,0.02,23.18,34.80
