FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.31,10.1.0.164,1015,1015,0,100.00,4.88,0.48,0.18
2,10.1.0.7,10.1.0.155,1012,1010,2,99.80,4.87,2.22,2.15
3,10.1.0.83,10.1.0.158,259,254,5,98.07,0.72,0.68,0.64
4,10.1.0.6,10.1.0.152,1011,1010,1,99.90,4.87,0.41,0.04
5,10.1.0.96,10.1.0.162,259,259,0,100.00,0.74,0.39,0.10
6,10.1.0.34,10.1.0.152,1010,1010,0,100.00,4.88,0.67,0.53
7,10.1.0.95,10.1.0.156,259,259,0,100.00,0.74,0.34,0.00
8,10.1.0.12,10.1.0.159,1010,1010,0,100.00,4.88,0.43,0.09
9,10.1.0.97,10.1.0.165,259,259,0,100.00,0.74,1.13,0.40
10,10.1.0.17,10.1.0.97,7,7,0,100.00,0.01,2.00,1.33
11,10.1.0.17,10.1.0.165,2,2,0,100.00,0.01,14.00,0.00
12,10.1.0.139,10.1.0.97,2,2,0,100.00,0.01,6.00,7.00
13,10.1.0.139,10.1.0.165,2,1,1,50.00,0.00,4.00,0.00
14,10.1.0.63,10.1.0.97,2,1,1,50.00,0.00,1002.00,0.00
15,10.1.0.63,10.1.0.165,2,2,0,100.00,0.01,3.00,3.00
16,10.1.0.97,10.1.0.17,3,3,0,100.00,0.01,6.33,9.00
17,10.1.0.97,10.1.0.139,2,2,0,100.00,0.00,5.00,3.00
18,10.1.0.61,10.1.0.153,259,259,0,100.00,0.74,1.24,1.75
19,10.1.0.16,10.1.0.162,1007,1007,0,100.00,4.88,0.79,0.69
20,10.1.0.93,10.1.0.153,258,258,0,100.00,0.74,0.59,0.49
21,10.1.0.30,10.1.0.164,1005,1005,0,100.00,4.88,0.46,0.14
22,10.1.0.3,10.1.0.156,1005,1005,0,100.00,4.88,0.45,0.13
23,10.1.0.98,10.1.0.159,258,258,0,100.00,0.74,0.43,0.19
24,10.1.0.80,10.1.0.163,257,257,0,100.00,0.74,0.34,0.01
25,10.1.0.33,10.1.0.151,1003,1003,0,100.00,4.88,0.41,0.04
26,10.1.0.36,10.1.0.158,1003,1003,0,100.00,4.88,0.46,0.15
27,10.1.0.48,10.1.0.162,1003,1002,1,99.90,4.87,3.22,1.22
28,10.1.0.67,10.1.0.48,3,3,0,100.00,0.01,9.33,15.00
29,10.1.0.67,10.1.0.162,33,33,0,100.00,0.06,2.42,2.53
30,10.1.0.77,10.1.0.48,2,2,0,100.00,0.01,11.50,16.00
31,10.1.0.77,10.1.0.162,13,13,0,100.00,0.04,6.85,5.50
32,10.1.0.48,10.1.0.77,6,6,0,100.00,0.02,13.67,10.00
33,10.1.0.82,10.1.0.157,257,257,0,100.00,0.74,0.36,0.04
34,10.1.0.48,10.1.0.67,1,1,0,100.00,21.84,10.00,0.00
35,10.1.0.4,10.1.0.151,1002,1002,0,100.00,4.88,0.43,0.09
36,10.1.0.22,10.1.0.154,1002,1002,0,100.00,4.88,0.40,0.02
37,10.1.0.63,10.1.0.165,257,257,0,100.00,0.74,0.34,0.01
38,10.1.0.9,10.1.0.158,1000,1000,0,100.00,4.88,0.65,0.47
39,10.1.0.44,10.1.0.158,1000,1000,0,100.00,4.88,0.75,0.68
40,10.1.0.23,10.1.0.159,999,999,0,100.00,4.88,0.44,0.10
41,10.1.0.8,10.1.0.163,999,999,0,100.00,4.88,2.90,2.08
42,10.1.0.35,10.1.0.162,999,999,0,100.00,4.88,0.51,0.22
43,10.1.0.1,10.1.0.158,998,998,0,100.00,4.88,0.45,0.12
44,10.1.0.68,10.1.0.157,256,256,0,100.00,0.74,0.55,0.40
45,10.1.0.110,10.1.0.152,51,51,0,100.00,0.10,20.92,41.98
46,10.1.0.148,10.1.0.152,51,51,0,100.00,0.10,0.47,0.16
47,10.1.0.25,10.1.0.157,995,994,1,99.90,4.87,0.53,0.28
48,10.1.0.136,10.1.0.153,51,51,0,100.00,0.10,0.41,0.12
49,10.1.0.49,10.1.0.162,993,993,0,100.00,4.88,1.16,0.32
50,10.1.0.48,10.1.0.49,2,0,2,0.00,0.00,0.00,0.00
51,10.1.0.16,10.1.0.49,4,4,0,100.00,0.04,7.75,12.67
52,10.1.0.16,10.1.0.162,24,24,0,100.00,0.03,10.79,11.22
53,10.1.0.62,10.1.0.49,5,0,5,0.00,0.00,0.00,0.00
54,10.1.0.62,10.1.0.162,14,14,0,100.00,0.02,13.71,12.38
55,10.1.0.67,10.1.0.49,3,3,0,100.00,0.03,10.00,2.00
56,10.1.0.77,10.1.0.49,5,4,1,80.00,0.02,11.25,11.33
57,10.1.0.105,10.1.0.153,51,51,0,100.00,0.10,2.31,4.00
58,10.1.0.49,10.1.0.77,7,6,1,85.71,0.02,6.17,4.40
59,10.1.0.49,10.1.0.67,3,3,0,100.00,0.02,4.33,4.50
60,10.1.0.49,10.1.0.16,12,12,0,100.00,0.02,7.83,10.27
61,10.1.0.73,10.1.0.157,255,255,0,100.00,0.74,0.57,0.47
62,10.1.0.85,10.1.0.164,255,255,0,100.00,0.74,0.36,0.04
63,10.1.0.50,10.1.0.155,992,992,0,100.00,4.88,0.48,0.17
64,10.1.0.90,10.1.0.165,254,254,0,100.00,0.74,0.39,0.07
65,10.1.0.134,10.1.0.159,51,51,0,100.00,0.10,0.57,0.34
66,10.1.0.58,10.1.0.152,254,254,0,100.00,0.74,0.70,0.67
67,10.1.0.138,10.1.0.159,51,51,0,100.00,0.10,0.47,0.28
68,10.1.0.78,10.1.0.159,254,254,0,100.00,0.74,0.47,0.24
69,10.1.0.66,10.1.0.160,254,254,0,100.00,0.74,0.51,0.34
70,10.1.0.56,10.1.0.159,254,254,0,100.00,0.74,0.41,0.10
71,10.1.0.142,10.1.0.164,51,51,0,100.00,0.10,1.37,1.96
72,10.1.0.141,10.1.0.160,51,51,0,100.00,0.10,0.47,0.20
73,10.1.0.57,10.1.0.151,254,254,0,100.00,0.74,0.39,0.08
74,10.1.0.84,10.1.0.162,254,254,0,100.00,0.74,0.72,0.72
75,10.1.0.77,10.1.0.162,254,254,0,100.00,0.74,0.50,0.34
76,10.1.0.87,10.1.0.151,253,253,0,100.00,0.74,0.40,0.10
77,10.1.0.109,10.1.0.154,51,51,0,100.00,0.10,0.43,0.16
78,10.1.0.140,10.1.0.153,51,51,0,100.00,0.10,2.78,4.96
79,10.1.0.55,10.1.0.164,253,253,0,100.00,0.74,0.60,0.50
80,10.1.0.37,10.1.0.156,987,987,0,100.00,4.88,0.46,0.16
81,10.1.0.88,10.1.0.161,253,253,0,100.00,0.74,0.44,0.15
82,10.1.0.111,10.1.0.156,51,51,0,100.00,0.10,0.47,0.22
83,10.1.0.128,10.1.0.151,51,51,0,100.00,0.10,0.37,0.08
84,10.1.0.94,10.1.0.161,252,252,0,100.00,0.74,0.60,0.50
85,10.1.0.143,10.1.0.160,51,51,0,100.00,0.10,0.47,0.18
86,10.1.0.89,10.1.0.164,252,252,0,100.00,0.74,0.37,0.06
87,10.1.0.59,10.1.0.156,252,252,0,100.00,0.74,0.89,1.09
88,10.1.0.15,10.1.0.152,982,980,2,99.80,4.87,0.59,0.39
89,10.1.0.144,10.1.0.152,50,50,0,100.00,0.10,0.52,0.27
90,10.1.0.42,10.1.0.152,981,981,0,100.00,4.88,0.50,0.22
91,10.1.0.149,10.1.0.158,50,50,0,100.00,0.10,0.88,0.98
92,10.1.0.11,10.1.0.164,981,981,0,100.00,4.88,0.68,0.38
93,10.1.0.10,10.1.0.155,981,981,0,100.00,4.88,0.41,0.05
94,10.1.0.28,10.1.0.158,981,980,1,99.90,4.87,0.64,0.49
95,10.1.0.20,10.1.0.157,981,981,0,100.00,4.88,0.51,0.21
96,10.1.0.5,10.1.0.161,981,981,0,100.00,4.88,0.50,0.22
97,10.1.0.69,10.1.0.158,251,251,0,100.00,0.74,0.37,0.06
98,10.1.0.43,10.1.0.164,980,980,0,100.00,4.88,0.40,0.03
99,10.1.0.39,10.1.0.164,980,979,1,99.90,4.87,0.50,0.23
100,10.1.0.92,10.1.0.157,251,251,0,100.00,0.74,0.55,0.38
101,10.1.0.125,10.1.0.151,50,50,0,100.00,0.10,0.38,0.06
102,10.1.0.120,10.1.0.155,50,50,0,100.00,0.10,0.54,0.29
103,10.1.0.29,10.1.0.161,978,978,0,100.00,4.88,0.53,0.28
104,10.1.0.41,10.1.0.161,978,978,0,100.00,4.88,0.40,0.03
