FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.12,10.1.0.55,1015,0,1883,0.00,0.00,0.00,0.00
2,10.1.0.30,10.1.0.54,259,259,0,100.00,0.74,0.41,0.11
3,10.1.0.24,10.1.0.55,259,0,465,0.00,0.00,0.00,0.00
4,10.1.0.21,10.1.0.52,259,259,0,100.00,0.74,1.25,0.66
5,10.1.0.47,10.1.0.21,9,9,0,100.00,0.02,2.22,3.12
6,10.1.0.47,10.1.0.52,19,19,0,100.00,0.04,4.21,4.00
7,10.1.0.43,10.1.0.21,8,8,0,100.00,0.01,5.62,4.57
8,10.1.0.43,10.1.0.52,10,10,0,100.00,0.02,5.80,8.11
9,10.1.0.21,10.1.0.47,6,2,4,33.33,0.03,11.50,5.00
10,10.1.0.21,10.1.0.43,8,8,0,100.00,0.02,4.50,3.29
11,10.1.0.47,10.1.0.56,3,3,0,100.00,0.56,2.00,2.50
12,10.1.0.52,10.1.0.47,2,2,0,100.00,0.30,4.00,6.00
13,10.1.0.6,10.1.0.51,1010,1010,995,100.00,4.88,0.39,0.02
14,10.1.0.1,10.1.0.53,1010,1010,0,100.00,4.88,0.40,0.04
15,10.1.0.9,10.1.0.54,1009,1009,0,100.00,4.88,0.46,0.14
16,10.1.0.11,10.1.0.55,1009,0,1874,0.00,0.00,0.00,0.00
17,10.1.0.4,10.1.0.55,1006,0,1867,0.00,0.00,0.00,0.00
18,10.1.0.8,10.1.0.55,1005,998,8,99.30,4.84,7.80,2.72
19,10.1.0.52,10.1.0.38,4,4,0,100.00,0.01,6.00,7.33
20,10.1.0.47,10.1.0.38,4,4,0,100.00,0.01,7.25,2.33
21,10.1.0.38,10.1.0.32,4,4,0,100.00,0.09,3.25,2.00
22,10.1.0.38,10.1.0.47,2,2,0,100.00,0.00,500.50,1000.00
23,10.1.0.21,10.1.0.56,7,7,0,100.00,0.02,2.14,1.83
24,10.1.0.32,10.1.0.1,4,4,0,100.00,0.01,9.25,5.33
25,10.1.0.43,10.1.0.38,4,4,0,100.00,0.01,5.75,6.00
26,10.1.0.1,10.1.0.53,5,5,0,100.00,0.01,0.40,0.00
27,10.1.0.3,10.1.0.51,1002,1002,988,100.00,4.88,0.39,0.01
28,10.1.0.56,10.1.0.21,7,7,0,100.00,0.01,9.57,5.83
29,10.1.0.48,10.1.0.47,2,2,0,100.00,0.01,502.50,998.00
30,10.1.0.48,10.1.0.56,1,1,0,100.00,52.41,7.00,0.00
31,10.1.0.21,10.1.0.26,6,6,0,100.00,0.01,2.33,1.80
32,10.1.0.26,10.1.0.7,4,4,0,100.00,0.01,4.50,4.33
33,10.1.0.7,10.1.0.17,7,7,0,100.00,0.02,2.00,1.50
34,10.1.0.17,10.1.0.35,4,4,0,100.00,0.01,1.00,0.67
35,10.1.0.35,10.1.0.13,3,3,0,100.00,0.01,2.00,2.50
36,10.1.0.13,10.1.0.54,6,6,0,100.00,0.02,2.50,2.00
37,10.1.0.20,10.1.0.55,256,0,459,0.00,0.00,0.00,0.00
38,10.1.0.17,10.1.0.7,5,5,0,100.00,0.02,5.60,3.25
39,10.1.0.17,10.1.0.55,10,10,0,100.00,0.01,9.40,9.22
40,10.1.0.7,10.1.0.26,6,6,0,100.00,0.02,1.33,1.60
41,10.1.0.26,10.1.0.47,5,5,0,100.00,0.01,11.00,10.25
42,10.1.0.47,10.1.0.48,2,2,0,100.00,1.13,1.50,2.00
43,10.1.0.48,10.1.0.8,2,2,0,100.00,0.01,5.50,6.00
44,10.1.0.29,10.1.0.55,256,0,461,0.00,0.00,0.00,0.00
45,10.1.0.7,10.1.0.55,997,997,0,100.00,4.88,1.08,0.19
46,10.1.0.35,10.1.0.55,3,3,0,100.00,0.01,4.00,3.00
47,10.1.0.35,10.1.0.17,3,3,0,100.00,0.01,2.33,1.00
48,10.1.0.26,10.1.0.21,9,9,0,100.00,0.02,0.33,0.00
49,10.1.0.47,10.1.0.26,2,2,0,100.00,0.01,4.50,8.00
50,10.1.0.49,10.1.0.51,51,51,50,100.00,0.10,2.04,0.68
51,10.1.0.5,10.1.0.55,987,0,1829,0.00,0.00,0.00,0.00
52,10.1.0.34,10.1.0.53,51,51,0,100.00,0.10,0.37,0.06
53,10.1.0.50,10.1.0.54,51,51,0,100.00,0.10,1.71,0.44
54,10.1.0.31,10.1.0.53,252,252,0,100.00,0.74,0.35,0.02
55,10.1.0.39,10.1.0.53,51,0,92,0.00,0.00,0.00,0.00
56,10.1.0.2,10.1.0.52,981,981,0,100.00,4.88,0.46,0.14
57,10.1.0.46,10.1.0.55,50,0,90,0.00,0.00,0.00,0.00
58,10.1.0.27,10.1.0.53,251,0,449,0.00,0.00,0.00,0.00
59,10.1.0.22,10.1.0.54,251,251,0,100.00,0.74,0.92,0.08
60,10.1.0.43,10.1.0.52,50,50,0,100.00,0.10,0.70,0.80
61,10.1.0.32,10.1.0.53,251,251,0,100.00,0.74,0.91,0.04
62,10.1.0.25,10.1.0.55,250,0,447,0.00,0.00,0.00,0.00
63,10.1.0.16,10.1.0.51,976,976,961,100.00,4.88,0.39,0.01
64,10.1.0.45,10.1.0.55,50,50,0,100.00,0.10,0.50,0.20
65,10.1.0.17,10.1.0.55,250,250,0,100.00,0.74,0.44,0.20
66,10.1.0.26,10.1.0.51,249,0,447,0.00,0.00,0.00,0.00
67,10.1.0.28,10.1.0.53,248,0,443,0.00,0.00,0.00,0.00
68,10.1.0.15,10.1.0.51,969,969,954,100.00,4.88,0.40,0.02
69,10.1.0.41,10.1.0.51,50,50,49,100.00,0.10,1.08,0.18
70,10.1.0.10,10.1.0.54,967,0,1789,0.00,0.00,0.00,0.00
71,10.1.0.14,10.1.0.52,964,0,1782,0.00,0.00,0.00,0.00
72,10.1.0.18,10.1.0.55,247,247,0,100.00,0.74,0.62,0.47
73,10.1.0.13,10.1.0.54,961,961,0,100.00,4.88,0.39,0.02
74,10.1.0.44,10.1.0.53,49,0,88,0.00,0.00,0.00,0.00
75,10.1.0.48,10.1.0.55,49,49,0,100.00,0.10,3.12,1.46
76,10.1.0.42,10.1.0.55,49,0,88,0.00,0.00,0.00,0.00
