FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.180,10.1.0.216,55,55,0,100.00,0.12,1.22,1.65
2,10.1.0.216,10.1.0.180,2,2,0,100.00,0.02,3.50,6.00
3,10.1.0.134,10.1.0.211,54,54,0,100.00,0.11,0.43,0.11
4,10.1.0.211,10.1.0.134,1,1,0,100.00,28.06,10.00,0.00
5,10.1.0.89,10.1.0.216,263,263,0,100.00,0.82,0.40,0.06
6,10.1.0.216,10.1.0.89,262,262,0,100.00,0.31,0.55,0.05
7,10.1.0.189,10.1.0.205,54,54,0,100.00,0.11,0.37,0.06
8,10.1.0.205,10.1.0.189,1,1,0,100.00,128.51,2.00,0.00
9,10.1.0.45,10.1.0.216,1042,1042,0,100.00,5.32,0.48,0.17
10,10.1.0.216,10.1.0.45,1041,1041,0,100.00,1.22,0.54,0.05
11,10.1.0.27,10.1.0.215,1048,1048,0,100.00,5.35,0.47,0.14
12,10.1.0.215,10.1.0.27,1047,1047,0,100.00,1.23,0.55,0.08
13,10.1.0.69,10.1.0.218,263,263,0,100.00,0.82,0.59,0.36
14,10.1.0.218,10.1.0.69,262,262,0,100.00,0.31,0.55,0.05
15,10.1.0.47,10.1.0.209,1041,1041,0,100.00,5.32,0.42,0.06
16,10.1.0.209,10.1.0.47,1040,1040,0,100.00,1.22,0.52,0.01
17,10.1.0.146,10.1.0.206,54,54,0,100.00,0.11,1.07,1.28
18,10.1.0.206,10.1.0.146,1,1,0,100.00,31.43,9.00,0.00
19,10.1.0.2,10.1.0.202,1041,1041,0,100.00,5.32,0.46,0.11
20,10.1.0.202,10.1.0.2,1040,1040,0,100.00,1.22,0.51,0.00
21,10.1.0.50,10.1.0.214,1041,1041,0,100.00,5.33,0.50,0.21
22,10.1.0.214,10.1.0.50,1040,1040,0,100.00,1.22,0.57,0.11
23,10.1.0.73,10.1.0.218,264,264,0,100.00,0.83,0.42,0.10
24,10.1.0.218,10.1.0.73,263,263,0,100.00,0.31,0.53,0.02
25,10.1.0.129,10.1.0.204,263,263,0,100.00,0.82,0.39,0.06
26,10.1.0.204,10.1.0.129,262,262,0,100.00,0.31,0.53,0.02
27,10.1.0.57,10.1.0.210,1043,1043,0,100.00,5.34,0.41,0.03
28,10.1.0.210,10.1.0.57,1042,1042,0,100.00,1.22,0.52,0.01
29,10.1.0.36,10.1.0.218,1045,1045,0,100.00,5.35,0.44,0.08
30,10.1.0.218,10.1.0.36,1044,1044,0,100.00,1.23,0.51,0.01
31,10.1.0.165,10.1.0.218,54,54,0,100.00,0.11,0.50,0.19
32,10.1.0.218,10.1.0.165,1,1,0,100.00,28.70,10.00,0.00
33,10.1.0.6,10.1.0.204,1039,1039,0,100.00,5.32,0.42,0.05
34,10.1.0.204,10.1.0.6,1038,1038,0,100.00,1.22,0.52,0.01
35,10.1.0.101,10.1.0.207,264,264,0,100.00,0.83,0.41,0.09
36,10.1.0.207,10.1.0.101,263,263,0,100.00,0.31,0.53,0.02
37,10.1.0.181,10.1.0.203,55,55,0,100.00,0.12,0.78,0.48
38,10.1.0.203,10.1.0.181,2,2,0,100.00,0.00,5.50,10.00
39,10.1.0.67,10.1.0.219,262,262,0,100.00,0.82,0.75,0.71
40,10.1.0.219,10.1.0.67,261,261,0,100.00,0.31,0.76,0.38
41,10.1.0.31,10.1.0.213,1038,1038,0,100.00,5.33,0.53,0.24
42,10.1.0.213,10.1.0.31,1037,1037,0,100.00,1.22,0.54,0.06
43,10.1.0.26,10.1.0.206,1038,1037,1,99.90,5.32,0.64,0.48
44,10.1.0.206,10.1.0.26,1036,1036,0,100.00,1.22,0.58,0.12
45,10.1.0.102,10.1.0.220,262,262,0,100.00,0.82,0.41,0.08
46,10.1.0.220,10.1.0.102,261,261,0,100.00,0.31,2.05,0.75
47,10.1.0.173,10.1.0.210,56,56,0,100.00,0.12,0.45,0.18
48,10.1.0.210,10.1.0.173,3,3,0,100.00,0.01,1.33,1.50
49,10.1.0.19,10.1.0.209,1039,1039,0,100.00,5.33,0.97,0.80
50,10.1.0.209,10.1.0.19,1038,1038,0,100.00,1.22,0.54,0.05
51,10.1.0.149,10.1.0.219,55,55,0,100.00,0.12,4.22,7.43
52,10.1.0.219,10.1.0.149,2,2,0,100.00,0.01,250.50,500.00
53,10.1.0.119,10.1.0.216,261,261,0,100.00,0.82,0.52,0.23
54,10.1.0.216,10.1.0.119,260,260,0,100.00,0.31,0.53,0.04
55,10.1.0.71,10.1.0.206,265,265,0,100.00,0.83,0.44,0.12
56,10.1.0.206,10.1.0.71,264,264,0,100.00,0.31,0.53,0.03
57,10.1.0.182,10.1.0.207,54,54,0,100.00,0.12,0.43,0.11
58,10.1.0.207,10.1.0.182,1,1,0,100.00,31.43,9.00,0.00
59,10.1.0.29,10.1.0.219,1035,1035,0,100.00,5.33,0.47,0.14
60,10.1.0.219,10.1.0.29,1034,1034,0,100.00,1.22,0.58,0.12
61,10.1.0.175,10.1.0.213,54,54,0,100.00,0.12,0.43,0.11
62,10.1.0.213,10.1.0.175,1,1,0,100.00,27.91,10.00,0.00
63,10.1.0.41,10.1.0.216,1037,1037,0,100.00,5.34,0.41,0.03
64,10.1.0.216,10.1.0.41,1036,1036,0,100.00,1.22,0.52,0.01
65,10.1.0.8,10.1.0.216,1033,1033,0,100.00,5.32,0.40,0.01
66,10.1.0.151,10.1.0.209,54,54,0,100.00,0.12,0.44,0.13
67,10.1.0.216,10.1.0.8,1032,1032,0,100.00,1.22,0.53,0.04
68,10.1.0.209,10.1.0.151,1,1,0,100.00,116.36,2.00,0.00
69,10.1.0.121,10.1.0.213,259,259,0,100.00,0.82,0.37,0.03
70,10.1.0.213,10.1.0.121,258,258,0,100.00,0.31,0.54,0.04
71,10.1.0.33,10.1.0.217,1038,1038,0,100.00,5.35,0.73,0.65
72,10.1.0.217,10.1.0.33,1037,1037,0,100.00,1.23,0.53,0.04
73,10.1.0.158,10.1.0.215,54,54,0,100.00,0.12,1.17,1.57
74,10.1.0.215,10.1.0.158,1,1,0,100.00,98.30,3.00,0.00
75,10.1.0.145,10.1.0.211,54,54,0,100.00,0.12,0.70,0.40
76,10.1.0.190,10.1.0.213,54,54,0,100.00,0.12,0.44,0.11
77,10.1.0.211,10.1.0.145,1,1,0,100.00,38.23,7.00,0.00
78,10.1.0.213,10.1.0.190,1,1,0,100.00,28.64,10.00,0.00
79,10.1.0.157,10.1.0.206,54,54,0,100.00,0.12,0.91,0.60
80,10.1.0.206,10.1.0.157,1,1,0,100.00,74.27,4.00,0.00
81,10.1.0.140,10.1.0.218,55,55,0,100.00,0.12,0.71,0.43
82,10.1.0.218,10.1.0.140,2,2,0,100.00,0.00,3.00,5.00
83,10.1.0.113,10.1.0.205,260,260,0,100.00,0.82,2.03,0.73
84,10.1.0.205,10.1.0.113,259,259,0,100.00,0.31,0.53,0.02
85,10.1.0.111,10.1.0.210,260,260,0,100.00,0.82,0.39,0.07
86,10.1.0.210,10.1.0.111,259,259,0,100.00,0.31,0.53,0.02
87,10.1.0.40,10.1.0.203,1034,1034,0,100.00,5.34,0.42,0.04
88,10.1.0.203,10.1.0.40,1033,1033,0,100.00,1.22,0.53,0.03
89,10.1.0.21,10.1.0.203,1032,1032,0,100.00,5.33,0.42,0.04
90,10.1.0.30,10.1.0.213,1033,1033,0,100.00,5.33,0.42,0.04
91,10.1.0.203,10.1.0.21,1031,1031,0,100.00,1.22,0.52,0.01
92,10.1.0.213,10.1.0.30,1032,1032,0,100.00,1.22,0.52,0.01
93,10.1.0.144,10.1.0.201,55,55,0,100.00,0.12,0.45,0.15
94,10.1.0.201,10.1.0.144,2,2,0,100.00,0.00,1.50,2.00
95,10.1.0.179,10.1.0.201,54,54,0,100.00,0.12,0.54,0.23
96,10.1.0.201,10.1.0.179,1,1,0,100.00,35.05,8.00,0.00
97,10.1.0.63,10.1.0.212,1030,1030,0,100.00,5.33,0.50,0.20
98,10.1.0.212,10.1.0.63,1029,1029,0,100.00,1.22,0.53,0.05
99,10.1.0.138,10.1.0.213,54,54,0,100.00,0.12,0.93,0.64
100,10.1.0.213,10.1.0.138,1,1,0,100.00,35.05,8.00,0.00
101,10.1.0.98,10.1.0.207,259,259,0,100.00,0.82,0.53,0.28
102,10.1.0.207,10.1.0.98,258,258,0,100.00,0.31,0.54,0.04
103,10.1.0.1,10.1.0.220,1031,1031,0,100.00,5.33,0.43,0.07
104,10.1.0.220,10.1.0.1,1030,1030,0,100.00,1.22,0.52,0.02
105,10.1.0.90,10.1.0.211,259,259,0,100.00,0.82,0.44,0.10
106,10.1.0.81,10.1.0.220,259,259,0,100.00,0.82,0.43,0.14
107,10.1.0.211,10.1.0.90,258,258,0,100.00,0.31,0.53,0.03
108,10.1.0.220,10.1.0.81,258,258,0,100.00,0.31,0.52,0.01
109,10.1.0.108,10.1.0.208,260,260,0,100.00,0.82,0.41,0.09
