FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.196,10.1.0.210,253,252,1,99.60,4.22,0.81,0.28
2,10.1.0.160,10.1.0.213,253,253,0,100.00,4.23,0.97,0.60
3,10.1.0.152,10.1.0.211,253,253,0,100.00,4.23,0.92,0.49
4,10.1.0.30,10.1.0.212,253,253,0,100.00,4.23,1.17,0.96
5,10.1.0.195,10.1.0.212,253,253,0,100.00,4.23,0.98,0.63
6,10.1.0.142,10.1.0.204,253,253,0,100.00,4.23,0.70,0.06
7,10.1.0.164,10.1.0.215,253,252,1,99.60,4.22,1.21,1.10
8,10.1.0.186,10.1.0.217,253,253,0,100.00,4.23,0.83,0.30
9,10.1.0.61,10.1.0.201,253,253,0,100.00,4.23,2.09,1.97
10,10.1.0.43,10.1.0.209,253,253,0,100.00,4.23,1.00,0.63
11,10.1.0.81,10.1.0.202,253,253,0,100.00,4.23,0.81,0.29
12,10.1.0.91,10.1.0.203,253,253,0,100.00,4.23,0.74,0.15
13,10.1.0.58,10.1.0.202,252,252,0,100.00,4.23,5.79,10.28
14,10.1.0.147,10.1.0.203,252,252,0,100.00,4.23,1.35,1.33
15,10.1.0.169,10.1.0.204,252,252,0,100.00,4.23,0.86,0.37
16,10.1.0.112,10.1.0.202,252,252,0,100.00,4.23,0.94,0.44
17,10.1.0.165,10.1.0.208,252,251,1,99.60,4.22,0.76,0.18
18,10.1.0.118,10.1.0.202,252,252,0,100.00,4.23,1.93,2.47
19,10.1.0.127,10.1.0.217,252,252,0,100.00,4.23,0.83,0.31
20,10.1.0.25,10.1.0.215,252,252,0,100.00,4.23,8.18,15.05
21,10.1.0.69,10.1.0.213,252,252,0,100.00,4.23,0.98,0.59
22,10.1.0.3,10.1.0.215,252,252,0,100.00,4.23,1.19,0.86
23,10.1.0.56,10.1.0.210,251,251,0,100.00,4.23,0.69,0.04
24,10.1.0.73,10.1.0.214,251,251,0,100.00,4.23,5.41,9.18
25,10.1.0.5,10.1.0.209,251,251,0,100.00,4.23,1.34,1.34
26,10.1.0.199,10.1.0.215,251,251,0,100.00,4.23,0.96,0.54
27,10.1.0.76,10.1.0.208,251,251,0,100.00,4.23,1.01,0.67
28,10.1.0.178,10.1.0.201,251,251,0,100.00,4.23,0.96,0.61
29,10.1.0.71,10.1.0.216,251,251,0,100.00,4.23,0.83,0.27
30,10.1.0.40,10.1.0.218,251,251,0,100.00,4.23,0.81,0.29
31,10.1.0.31,10.1.0.212,251,251,0,100.00,4.23,0.91,0.46
32,10.1.0.6,10.1.0.201,251,251,0,100.00,4.23,1.03,0.69
33,10.1.0.133,10.1.0.201,251,251,0,100.00,4.23,1.50,1.56
34,10.1.0.42,10.1.0.212,251,251,0,100.00,4.23,0.90,0.47
35,10.1.0.192,10.1.0.211,251,251,0,100.00,4.23,4.91,8.48
36,10.1.0.63,10.1.0.212,250,250,0,100.00,4.23,1.38,1.39
37,10.1.0.141,10.1.0.205,250,250,0,100.00,4.23,0.70,0.06
38,10.1.0.82,10.1.0.214,250,248,2,99.20,4.20,0.99,0.63
39,10.1.0.19,10.1.0.218,250,250,0,100.00,4.23,0.82,0.31
40,10.1.0.75,10.1.0.201,250,250,0,100.00,4.23,0.70,0.04
41,10.1.0.67,10.1.0.211,250,248,2,99.20,4.20,1.12,0.87
42,10.1.0.36,10.1.0.212,250,250,0,100.00,4.23,0.73,0.10
43,10.1.0.139,10.1.0.207,250,250,0,100.00,4.23,5.69,9.39
