NodeID,Type,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,ConsumedPct
0,ECG,2.0,0.5448,1.4552,72.76
1,ECG,2.0,0.5448,1.4552,72.76
2,ECG,2.0,0.5494,1.4506,72.53
3,ECG,2.0,0.5583,1.4417,72.08
4,ECG,2.0,0.5482,1.4518,72.59
5,ECG,2.0,0.5457,1.4543,72.72
6,ECG,2.0,0.5452,1.4548,72.74
7,ECG,2.0,0.5533,1.4467,72.33
8,ECG,2.0,0.5466,1.4534,72.67
9,ECG,2.0,0.5533,1.4467,72.33
10,ECG,2.0,0.5444,1.4556,72.78
11,ECG,2.0,0.5498,1.4502,72.51
12,ECG,2.0,0.5562,1.4438,72.19
13,ECG,2.0,0.5587,1.4413,72.06
14,ECG,2.0,0.5555,1.4445,72.22
15,ECG,2.0,0.5592,1.4408,72.04
16,ECG,2.0,0.5486,1.4514,72.57
17,ECG,2.0,0.5584,1.4416,72.08
18,ECG,2.0,0.5548,1.4452,72.26
19,ECG,2.0,0.5537,1.4463,72.32
20,ECG,2.0,0.5423,1.4577,72.88
21,ECG,2.0,0.5434,1.4566,72.83
22,ECG,2.0,0.5466,1.4534,72.67
23,ECG,2.0,0.5576,1.4424,72.12
24,ECG,2.0,0.5561,1.4439,72.20
25,ECG,2.0,0.5453,1.4547,72.74
26,ECG,2.0,0.5517,1.4483,72.41
27,ECG,2.0,0.5625,1.4375,71.87
28,ECG,2.0,0.5432,1.4568,72.84
29,ECG,2.0,0.5529,1.4471,72.35
30,ECG,2.0,0.5493,1.4507,72.54
31,ECG,2.0,0.5542,1.4458,72.29
32,ECG,2.0,0.5528,1.4472,72.36
33,ECG,2.0,0.5586,1.4414,72.07
34,ECG,2.0,0.5612,1.4388,71.94
35,ECG,2.0,0.5577,1.4423,72.11
36,ECG,2.0,0.5488,1.4512,72.56
37,ECG,2.0,0.5630,1.4370,71.85
38,ECG,2.0,0.5497,1.4503,72.51
39,ECG,2.0,0.5447,1.4553,72.76
40,ECG,2.0,0.5590,1.4410,72.05
41,ECG,2.0,0.5620,1.4380,71.90
42,ECG,2.0,0.5602,1.4398,71.99
43,ECG,2.0,0.5581,1.4419,72.10
44,ECG,2.0,0.5621,1.4379,71.89
45,ECG,2.0,0.5559,1.4441,72.20
46,ECG,2.0,0.5489,1.4511,72.55
47,ECG,2.0,0.5574,1.4426,72.13
48,ECG,2.0,0.5484,1.4516,72.58
49,ECG,2.0,0.5589,1.4411,72.05
50,ECG,2.0,0.5456,1.4544,72.72
51,ECG,2.0,0.5591,1.4409,72.04
52,ECG,2.0,0.5501,1.4499,72.49
53,ECG,2.0,0.5594,1.4406,72.03
54,ECG,2.0,0.5437,1.4563,72.81
55,ECG,2.0,0.5484,1.4516,72.58
56,ECG,2.0,0.5596,1.4404,72.02
57,ECG,2.0,0.5555,1.4445,72.22
58,ECG,2.0,0.5434,1.4566,72.83
59,ECG,2.0,0.5593,1.4407,72.03
60,ECG,2.0,0.5594,1.4406,72.03
