FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.44,10.1.0.52,87,0,166,0.00,0.00,0.00,0.00
2,10.1.0.26,10.1.0.54,87,87,0,100.00,4.27,2.16,0.88
3,10.1.0.7,10.1.0.26,4,4,0,100.00,0.08,2.00,1.67
4,10.1.0.7,10.1.0.54,16,16,0,100.00,0.14,2.56,2.00
5,10.1.0.47,10.1.0.26,2,2,0,100.00,0.05,8.00,0.00
6,10.1.0.47,10.1.0.54,10,10,0,100.00,0.11,6.20,5.22
7,10.1.0.49,10.1.0.26,3,3,0,100.00,0.06,4.33,6.00
8,10.1.0.49,10.1.0.54,2,2,0,100.00,0.02,17.00,32.00
9,10.1.0.26,10.1.0.7,8,8,0,100.00,0.08,9.38,8.86
10,10.1.0.26,10.1.0.47,1,1,0,100.00,27.26,8.00,0.00
11,10.1.0.26,10.1.0.49,3,3,0,100.00,0.03,8.67,5.50
12,10.1.0.11,10.1.0.55,86,85,1,98.84,4.22,15.38,16.80
13,10.1.0.4,10.1.0.55,86,86,0,100.00,4.27,0.93,0.47
14,10.1.0.20,10.1.0.53,86,86,0,100.00,4.27,0.69,0.02
15,10.1.0.8,10.1.0.48,3,3,0,100.00,0.11,9.00,13.00
16,10.1.0.8,10.1.0.55,11,11,0,100.00,0.46,1.18,0.80
17,10.1.0.48,10.1.0.8,11,11,0,100.00,0.39,1.73,1.40
18,10.1.0.48,10.1.0.29,4,4,0,100.00,0.14,3.25,3.00
19,10.1.0.29,10.1.0.11,4,4,0,100.00,0.11,5.75,2.67
20,10.1.0.15,10.1.0.51,86,86,0,100.00,4.27,0.73,0.08
21,10.1.0.21,10.1.0.52,85,85,0,100.00,4.27,1.74,0.23
22,10.1.0.6,10.1.0.21,1,1,0,100.00,68.07,5.00,0.00
23,10.1.0.6,10.1.0.52,2,2,0,100.00,0.10,1.00,1.00
24,10.1.0.21,10.1.0.6,2,2,0,100.00,0.08,5.00,9.00
25,10.1.0.42,10.1.0.54,84,84,0,100.00,4.27,0.74,0.14
26,10.1.0.18,10.1.0.52,84,0,133,0.00,0.00,0.00,0.00
27,10.1.0.12,10.1.0.54,84,84,0,100.00,4.27,2.01,0.77
28,10.1.0.26,10.1.0.12,4,4,0,100.00,0.09,12.25,8.67
29,10.1.0.47,10.1.0.12,4,4,0,100.00,0.09,2.75,3.00
