FlowID,SrcAddr,DstAddr,TxPackets,RxPackets,LostPackets,PDR_pct,Throughput_kbps,AvgDelay_ms,AvgJitter_ms
1,10.1.0.54,10.1.0.181,87,87,0,100.00,4.27,1.09,0.71
2,10.1.0.107,10.1.0.184,87,87,0,100.00,4.27,1.10,0.84
3,10.1.0.26,10.1.0.182,87,87,0,100.00,4.27,0.85,0.27
4,10.1.0.178,10.1.0.185,87,87,0,100.00,4.27,0.68,0.02
5,10.1.0.141,10.1.0.195,87,87,0,100.00,4.27,1.22,1.01
6,10.1.0.154,10.1.0.188,87,87,0,100.00,4.27,0.92,0.43
7,10.1.0.128,10.1.0.194,87,86,1,98.85,4.22,1.44,1.06
8,10.1.0.38,10.1.0.191,87,87,0,100.00,4.27,1.21,1.10
9,10.1.0.92,10.1.0.183,87,87,0,100.00,4.27,0.72,0.06
10,10.1.0.139,10.1.0.184,86,86,0,100.00,4.27,0.73,0.14
11,10.1.0.162,10.1.0.181,86,86,0,100.00,4.27,0.98,0.53
12,10.1.0.55,10.1.0.189,86,86,0,100.00,4.27,1.49,1.56
13,10.1.0.148,10.1.0.185,86,86,0,100.00,4.27,0.69,0.05
14,10.1.0.99,10.1.0.196,86,85,1,98.84,4.22,0.69,0.04
15,10.1.0.106,10.1.0.192,86,86,0,100.00,4.27,0.99,0.66
16,10.1.0.17,10.1.0.193,86,86,0,100.00,4.27,2.05,2.13
17,10.1.0.84,10.1.0.184,86,86,0,100.00,4.27,0.71,0.05
18,10.1.0.103,10.1.0.188,86,86,0,100.00,4.27,0.83,0.28
19,10.1.0.110,10.1.0.196,86,86,0,100.00,4.27,0.69,0.02
20,10.1.0.16,10.1.0.183,86,86,0,100.00,4.27,0.77,0.11
21,10.1.0.23,10.1.0.194,86,86,0,100.00,4.27,0.71,0.06
22,10.1.0.123,10.1.0.185,86,86,0,100.00,4.27,0.73,0.09
23,10.1.0.164,10.1.0.190,86,86,0,100.00,4.27,0.72,0.08
24,10.1.0.102,10.1.0.187,86,86,0,100.00,4.27,0.84,0.28
25,10.1.0.121,10.1.0.190,86,86,0,100.00,4.27,0.81,0.25
26,10.1.0.168,10.1.0.185,85,85,0,100.00,4.27,0.81,0.20
27,10.1.0.51,10.1.0.193,85,85,0,100.00,4.27,14.13,27.10
28,10.1.0.79,10.1.0.187,85,85,0,100.00,4.27,0.94,0.45
29,10.1.0.75,10.1.0.182,85,85,0,100.00,4.27,2.25,3.07
30,10.1.0.127,10.1.0.199,85,85,0,100.00,4.27,1.18,0.93
31,10.1.0.136,10.1.0.195,85,85,0,100.00,4.27,0.76,0.12
32,10.1.0.87,10.1.0.196,85,85,0,100.00,4.27,1.01,0.70
33,10.1.0.155,10.1.0.188,85,85,0,100.00,4.27,0.79,0.14
34,10.1.0.173,10.1.0.192,85,85,0,100.00,4.27,0.93,0.40
35,10.1.0.32,10.1.0.191,85,85,0,100.00,4.27,1.86,2.37
36,10.1.0.77,10.1.0.191,85,85,0,100.00,4.27,1.56,1.52
37,10.1.0.2,10.1.0.187,85,85,0,100.00,4.27,0.74,0.11
38,10.1.0.30,10.1.0.193,84,84,0,100.00,4.27,1.21,0.95
39,10.1.0.91,10.1.0.194,84,84,0,100.00,4.27,1.11,0.80
40,10.1.0.109,10.1.0.182,84,84,0,100.00,4.27,13.50,25.82
41,10.1.0.19,10.1.0.194,84,84,0,100.00,4.27,1.50,1.49
42,10.1.0.156,10.1.0.192,84,84,0,100.00,4.27,1.36,1.27
43,10.1.0.86,10.1.0.198,84,84,0,100.00,4.27,0.81,0.19
44,10.1.0.3,10.1.0.181,84,84,0,100.00,4.27,0.96,0.58
45,10.1.0.165,10.1.0.195,84,84,0,100.00,4.27,1.13,0.90
46,10.1.0.67,10.1.0.184,84,84,0,100.00,4.27,0.75,0.12
47,10.1.0.35,10.1.0.200,84,84,0,100.00,4.27,0.68,0.02
48,10.1.0.10,10.1.0.181,83,83,0,100.00,4.27,1.10,0.78
49,10.1.0.151,10.1.0.182,83,83,0,100.00,4.27,0.88,0.33
50,10.1.0.113,10.1.0.191,83,83,0,100.00,4.27,1.27,1.11
